OBI ID	IEDB alternative term	RDFS Label	Textual Definition	Logical Definition Type	Parent	Technique	Input	Reagent	MHC Source	Biological Process	BCell Process Result	TCell Process Result	Output	Unit	Term Editor	Definition Source
ID	A IEDB alternative term	A rdfs:label	A definition	CLASS_TYPE	C %	C 'has part' some %	C has_specified_input some %	C (has_specified_input some %) and (realizes some ('reagent role' and ('inheres in' some %)))	C has_specified_input some (% and ('has part' some 'MHC protein complex'))	C has_specified_output some ('information content entity' and ('is about' some %))	C has_specified_output some ('information content entity' and ('is about' some (% and ('process is result of' some 'immunoglobulin binding to epitope'))))	C has_specified_output some ('information content entity' and ('is about' some (% and ('process is result of' some 'MHC:epitope complex binding to TCR'))))	C has_specified_output some %	C has_specified_output some ('has measurement unit label' value %)	A term editor	A definition source
OBI:0001194	TGFb release|ELISPOT	ELISPOT assay measuring epitope specific transforming growth factor-beta production by T cells	An assay of epitope specific transforming growth factor-beta production by T cells that uses an ELISPOT assay.	equivalent	biological activity assay measuring epitope specific transforming growth factor-beta production by T cells	enzyme-linked immunospot assay									"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001196	CXCL10/IP-10 release|cytometric bead array	cytometric bead array assay measuring epitope specific IP-10 production by T cells	An assay of epitope specific IP-10 production by T cells that uses a cytometric bead array assay.	equivalent	biological activity assay measuring epitope specific IP-10 production by T cells	cytometric bead array assay									"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001198	IL-27 release|biological activity	biological activity assay measuring epitope specific interleukin-27 production by T cells	A T cell epitope specific cytokine production assay that detects interleukin-27 production by T cells.	equivalent	biological activity assay measuring epitope specific cytokine production by T cells					interleukin-27 production					"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001203	TGFb release|RNA/DNA detection	detection of specific nucleic acids with complementary probes assay measuring epitope specific transforming growth factor-beta production by T cells	An assay of epitope specific transforming growth factor-beta production by T cells that uses a detection of specific nucleic acids with complementary probes assay.	equivalent	biological activity assay measuring epitope specific transforming growth factor-beta production by T cells	detection of specific nucleic acid polymers with complementary probes									"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001206	GM-CSF release|ELISPOT	ELISPOT assay measuring epitope specific granulocyte macrophage colony-stimulating factor production by T cells	An assay of epitope specific granulocyte macrophage colony stimulating factor production by T cells that uses an ELISPOT assay.	equivalent	biological activity assay measuring epitope specific granulocyte macrophage colony stimulating factor production by T cells	enzyme-linked immunospot assay									"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001209	IL-10 release|biological activity	biological activity assay measuring epitope specific interleukin-10 production by T cells	A T cell epitope specific cytokine production assay that detects interleukin-10 production by T cells.	equivalent	biological activity assay measuring epitope specific cytokine production by T cells					interleukin-10 production					"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001210	TGFb release|cytometric bead array	cytometric bead array assay measuring epitope specific transforming growth factor-beta production by T cells	An assay of epitope specific transforming growth factor-beta production by T cells that uses a cytometric bead array assay.	equivalent	biological activity assay measuring epitope specific transforming growth factor-beta production by T cells	cytometric bead array assay									"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001215	perforin release|intracellular staining	intracellular material detection assay measuring epitope specific perforin release	A T cell epitope specific perforin release assay that uses an intracellular material detection by flow cytometry assay.	equivalent	biological activity assay measuring epitope specific perforin release by T cells	flow cytometry assay									"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001216	IL-2 release|bioassay	cell culture analyte detection bioassay measuring epitope specific interleukin-2 production by T cells	An assay of epitope specific interleukin-2 production by T cells that uses a cell culture analyte detection bioassay.	equivalent	biological activity assay measuring epitope specific interleukin-2 production by T cells	reporter cell line analyte detection bioassay									"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
