Type	IRI	Status	Label
Class	http://purl.obolibrary.org/obo/OBI_0500000	ready for release	study design
Class	http://purl.obolibrary.org/obo/IAO_0000015	pending final vetting	information carrier
AnnotationProperty	http://xmlns.com/foaf/0.1/page		
Class	http://purl.obolibrary.org/obo/OBI_0000181	pending final vetting	population
NamedIndividual	http://purl.obolibrary.org/obo/IAO_0000229		term split
Class	http://purl.obolibrary.org/obo/IAO_0000007	ready for release	action specification
NamedIndividual	http://purl.obolibrary.org/obo/IAO_0000226		placeholder removed
Class	http://purl.obolibrary.org/obo/IAO_0000009	metadata incomplete	datum label
Class	http://purl.obolibrary.org/obo/OBI_0000067	ready for release	evaluant role
NamedIndividual	http://purl.obolibrary.org/obo/IAO_0000227		terms merged
Class	http://purl.obolibrary.org/obo/OBI_0000066	ready for release	investigation
NamedIndividual	http://purl.obolibrary.org/obo/IAO_0000228		term imported
Class	http://purl.obolibrary.org/obo/IAO_0000003	pending final vetting	measurement unit label
Class	http://purl.obolibrary.org/obo/IAO_0000005	ready for release	objective specification
NamedIndividual	http://purl.obolibrary.org/obo/IAO_0000103		failed exploratory term
NamedIndividual	http://purl.obolibrary.org/obo/IAO_0000224		core
Class	http://purl.obolibrary.org/obo/CHEBI_23367		molecular entity
ObjectProperty	http://purl.obolibrary.org/obo/OBI_0000417	metadata complete	achieves_planned_objective
NamedIndividual	http://purl.obolibrary.org/obo/GAZ_00000448		geographic location
Class	http://purl.obolibrary.org/obo/NCBITaxon_9606		Homo sapiens
Class	http://purl.obolibrary.org/obo/OGMS_0000063		disease course
Class	http://purl.obolibrary.org/obo/OBI_0000070	ready for release	assay
Class	http://purl.obolibrary.org/obo/NCBITaxon_10239		Viruses
Class	http://purl.obolibrary.org/obo/OBI_0500026	ready for release	eligibility criterion
Class	http://purl.obolibrary.org/obo/OBI_0000751	ready for release	study design dependent variable
Class	http://purl.obolibrary.org/obo/OBI_0000750	ready for release	study design independent variable
Class	http://purl.obolibrary.org/obo/GO_0008150		biological_process
Class	http://purl.obolibrary.org/obo/CLO_0000001		cell line cell
Class	http://purl.obolibrary.org/obo/OBI_0200166	ready for release	data transformation objective
Class	http://purl.obolibrary.org/obo/NCBITaxon_117571		Euteleostomi
Class	http://purl.obolibrary.org/obo/CHEBI_33250		atom
Class	http://purl.obolibrary.org/obo/OBI_0000086	metadata complete	reagent role
ObjectProperty	http://purl.obolibrary.org/obo/IAO_0000136	pending final vetting	is about
Class	http://purl.obolibrary.org/obo/IAO_0000109	pending final vetting	measurement datum
Class	http://purl.obolibrary.org/obo/IAO_0000102		data about an ontology part
ObjectProperty	http://purl.obolibrary.org/obo/RO_0001000	pending final vetting	derives from
ObjectProperty	http://purl.obolibrary.org/obo/RO_0001001	pending final vetting	derives into
Class	http://purl.obolibrary.org/obo/IAO_0000104	ready for release	plan specification
Class	http://purl.obolibrary.org/obo/IAO_0000225	pending final vetting	obsolescence reason specification
ObjectProperty	http://purl.obolibrary.org/obo/OBI_0000312	ready for release	is_specified_output_of
Class	http://purl.obolibrary.org/obo/IAO_0000100	pending final vetting	data set
Class	http://purl.obolibrary.org/obo/GO_0005575		cellular_component
Class	http://purl.obolibrary.org/obo/OBI_0001977	metadata complete	cytometry assay
Class	http://purl.obolibrary.org/obo/NCBITaxon_33213		Bilateria
AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0010000		has axiom label
Class	http://purl.obolibrary.org/obo/GO_0003674		molecular_function
Class	http://purl.obolibrary.org/obo/OBI_0000810	ready for release	informed consent process
Class	http://purl.obolibrary.org/obo/OBI_0000011	ready for release	planned process
Class	http://purl.obolibrary.org/obo/OBI_0001908	ready for release	testable hypothesis
Class	http://purl.obolibrary.org/obo/OBI_0001909	ready for release	conclusion based on data
ObjectProperty	http://purl.obolibrary.org/obo/OBI_0001938	metadata complete	has value specification
Class	http://purl.obolibrary.org/obo/IAO_0000178	ready for release	material information bearer
ObjectProperty	http://purl.obolibrary.org/obo/OBI_0000295	ready for release	is_specified_input_of
ObjectProperty	http://purl.obolibrary.org/obo/OBI_0000293	ready for release	has_specified_input
ObjectProperty	http://purl.obolibrary.org/obo/RO_0000052		inheres in
Class	http://purl.obolibrary.org/obo/BFO_0000040		material entity
ObjectProperty	http://purl.obolibrary.org/obo/RO_0000053		bearer of
ObjectProperty	http://purl.obolibrary.org/obo/RO_0002351		has member
Class	http://purl.obolibrary.org/obo/NCBITaxon_314146		Euarchontoglires
ObjectProperty	http://purl.obolibrary.org/obo/RO_0002350		member of
ObjectProperty	http://purl.obolibrary.org/obo/OBI_0000299	ready for release	has_specified_output
ObjectProperty	http://purl.obolibrary.org/obo/RO_0000058		is concretized as
ObjectProperty	http://purl.obolibrary.org/obo/RO_0000059		concretizes
ObjectProperty	http://purl.obolibrary.org/obo/RO_0000056		participates in
ObjectProperty	http://purl.obolibrary.org/obo/RO_0000057		has participant
Class	http://purl.obolibrary.org/obo/OBI_0000272	ready for release	protocol
Class	http://purl.obolibrary.org/obo/OBI_0000832	ready for release	measurement device
Class	http://purl.obolibrary.org/obo/OBI_0000953	ready for release	processed specimen
Class	http://purl.obolibrary.org/obo/OBI_0000275	ready for release	analyte role
