Type	IRI	Status	Label
Class	http://purl.obolibrary.org/obo/IAO_0000018		obsolete_material_entity
Class	http://purl.obolibrary.org/obo/IAO_0000019		obsolete2_binary digital entity
Class	http://purl.obolibrary.org/obo/CHEBI_31643		gadoteridol
Class	http://purl.obolibrary.org/obo/IAO_0000015	pending final vetting	information carrier
Class	http://purl.obolibrary.org/obo/IAO_0000017	pending final vetting	model number
Class	http://purl.obolibrary.org/obo/IAO_0000010	metadata complete	software
Class	http://purl.obolibrary.org/obo/IAO_0000012		obsolete2_digital entity
Class	http://purl.obolibrary.org/obo/IAO_0000013	metadata complete	journal article
Class	http://purl.obolibrary.org/obo/IAO_0000007	ready for release	action specification
Class	http://purl.obolibrary.org/obo/IAO_0000008		obsolete_artifact
Class	http://purl.obolibrary.org/obo/IAO_0000009	metadata incomplete	datum label
Class	http://purl.obolibrary.org/obo/IAO_0000003	pending final vetting	measurement unit label
Class	http://purl.obolibrary.org/obo/IAO_0000005	ready for release	objective specification
Class	http://purl.obolibrary.org/obo/IAO_0000006	metadata incomplete	narrative object
Class	http://purl.obolibrary.org/obo/IAO_0000001	metadata complete	conditional specification
Class	http://purl.obolibrary.org/obo/CHEBI_31624		fluorescein
Class	http://purl.obolibrary.org/obo/UBERON_0002469		esophagus mucosa
Class	http://purl.obolibrary.org/obo/UO_0000105		frequency unit
Class	http://purl.obolibrary.org/obo/CHEBI_31642		gadodiamide hydrate
Class	http://purl.obolibrary.org/obo/UO_0000109		pressure unit
Class	http://purl.obolibrary.org/obo/UBERON_0001134		skeletal muscle tissue
Class	http://purl.obolibrary.org/obo/OBI_0000494	metadata complete	liquid chromatography autosampler
Class	http://purl.obolibrary.org/obo/OBI_0000493	metadata complete	rapid resolution column
Class	http://purl.obolibrary.org/obo/OBI_0300310	pending final vetting	sequential design
Class	http://purl.obolibrary.org/obo/OBI_0000492	metadata complete	Bruker B-ACS system
Class	http://purl.obolibrary.org/obo/OBI_0000491	metadata complete	direct detection NMR probe
Class	http://purl.obolibrary.org/obo/OBI_0000490	metadata complete	cation exchange column
Class	http://purl.obolibrary.org/obo/CL_0000767		basophil
Class	http://purl.obolibrary.org/obo/OBI_0000499	pending final vetting	NMR console
Class	http://purl.obolibrary.org/obo/OBI_0000498	metadata complete	NMR tube washing system
Class	http://purl.obolibrary.org/obo/OBI_0000497	metadata complete	sample inlet
Class	http://purl.obolibrary.org/obo/OBI_0000496	metadata complete	capillary column
Class	http://purl.obolibrary.org/obo/OBI_0300311	pending final vetting	observation design
Class	http://purl.obolibrary.org/obo/OBI_0000495	metadata complete	vacuum degasser
Class	http://purl.obolibrary.org/obo/IAO_0000059	uncurated	obsolete2_report figure
Class	http://purl.obolibrary.org/obo/IAO_0000055	metadata incomplete	rule
Class	http://purl.obolibrary.org/obo/IAO_0000057	example to be eventually removed	contour plot
Class	http://purl.obolibrary.org/obo/UBERON_0002409		pericardial fluid
Class	http://purl.obolibrary.org/obo/BFO_0000038		one-dimensional temporal region
Class	http://purl.obolibrary.org/obo/IAO_0000047		obsolete2_text based digital entity
Class	http://purl.obolibrary.org/obo/PR_000001004		CD4 molecule
Class	http://purl.obolibrary.org/obo/BFO_0000040		material entity
Class	http://purl.obolibrary.org/obo/GO_0001913		T cell mediated cytotoxicity
Class	http://purl.obolibrary.org/obo/CL_0000789		alpha-beta T cell
Class	http://purl.obolibrary.org/obo/CL_0000786		plasma cell
Class	http://purl.obolibrary.org/obo/IAO_0000037	example to be eventually removed	dot plot
Class	http://purl.obolibrary.org/obo/IAO_0000038	pending final vetting	graph
Class	http://purl.obolibrary.org/obo/IAO_0000032	metadata complete	scalar measurement datum
Class	http://purl.obolibrary.org/obo/IAO_0000033	ready for release	directive information entity
Class	http://purl.obolibrary.org/obo/CL_0000794		CD8-positive, alpha-beta cytotoxic T cell
Class	http://purl.obolibrary.org/obo/GO_0001906		cell killing
Class	http://purl.obolibrary.org/obo/IAO_0000034	uncurated	time trigger
Class	http://purl.obolibrary.org/obo/IAO_0000035	pending final vetting	obsolete_study interpretation
Class	http://purl.obolibrary.org/obo/IAO_0000030	ready for release	information content entity
Class	http://purl.obolibrary.org/obo/IAO_0000031	metadata incomplete	integer numeral
Class	http://purl.obolibrary.org/obo/PR_000001018		CD3 subunit with immunoglobulin domain
Class	http://purl.obolibrary.org/obo/IAO_0000029	metadata incomplete	numeral
Class	http://purl.obolibrary.org/obo/IAO_0000025	metadata complete	programming language
Class	http://purl.obolibrary.org/obo/IAO_0000027	pending final vetting	data item
Class	http://purl.obolibrary.org/obo/IAO_0000028	pending final vetting	symbol
Class	http://purl.obolibrary.org/obo/IAO_0000024		obsolete_unit of measure
Class	http://purl.obolibrary.org/obo/OBI_0000450	ready for release	regulatory agency
Class	http://purl.obolibrary.org/obo/OBI_0001782	metadata complete	CCL9/MIP-1g release|RNA/DNA detection
Class	http://purl.obolibrary.org/obo/OBI_0001783	metadata complete	CCL2/MCP-1 release|ICS
Class	http://purl.obolibrary.org/obo/OBI_0200109	ready for release	b transformation
Class	http://purl.obolibrary.org/obo/OBI_0001784	metadata complete	CCL2/MCP-1 release|ELISPOT
Class	http://purl.obolibrary.org/obo/OBI_0001785	metadata complete	CCL9/MIP-1g release|ICS
Class	http://purl.obolibrary.org/obo/OBI_0001786	metadata complete	CCL9/MIP-1g release|ELISPOT
Class	http://purl.obolibrary.org/obo/OBI_0001787	metadata complete	VEGF release|cytometric bead array
Class	http://purl.obolibrary.org/obo/OBI_0001788	metadata complete	TNF release|RNA/DNA detection
Class	http://purl.obolibrary.org/obo/OBI_0001789	metadata complete	CCL5/RANTES release|ICS
Class	http://purl.obolibrary.org/obo/OBI_0000458	ready for release	manufacturing objective
Class	http://purl.obolibrary.org/obo/OBI_0000457	ready for release	manufacturing
Class	http://purl.obolibrary.org/obo/OBI_0000456	ready for release	material transformation objective
Class	http://purl.obolibrary.org/obo/OBI_0000455	ready for release	consume data function
Class	http://purl.obolibrary.org/obo/OBI_0000454	metadata complete	extracellular electrophysiology recording
Class	http://purl.obolibrary.org/obo/PATO_0000125		mass
Class	http://purl.obolibrary.org/obo/OBI_0000453	ready for release	measure function
Class	http://purl.obolibrary.org/obo/OBI_0001780	metadata complete	CCL3/MIP-1a release|ELISPOT
Class	http://purl.obolibrary.org/obo/OBI_0000451	pending final vetting	normalized data set
Class	http://purl.obolibrary.org/obo/OBI_0001781	metadata complete	CCL9/MIP-1g release|cytometric bead array
Class	http://purl.obolibrary.org/obo/OBI_0200100	pending final vetting	canonical variate analysis
Class	http://purl.obolibrary.org/obo/OBI_0200102	pending final vetting	regression analysis method
Class	http://purl.obolibrary.org/obo/OBI_0200101	pending final vetting	linear discriminant functional analysis
Class	http://purl.obolibrary.org/obo/OBI_0200104	pending final vetting	principal component regression
Class	http://purl.obolibrary.org/obo/OBI_0200103	pending final vetting	multiple linear regression analysis
