table	column	nulltype	datatype	structure	description	template
table	table		table_name	primary	name of this table	
table	path		path		path to the TSV file for this table, relative to the table.tsv file	
table	type	empty	table_type		type of this table, used for tables with special meanings	
table	description	empty	description		a description of this table	
column	table		table_name	from(table.table)	the table that this column belongs to	
column	column		column_name		the name of this column	
column	datatype		datatype_name	from(datatype.datatype)	the datatype for this column	
column	nulltype	empty	datatype_name	from(datatype.datatype)	the datatype for NULL values in this column	
column	structure	empty	label		schema information for this column	
column	description	empty	description		a description of this column	
datatype	datatype		datatype_name	primary	the name of this datatype	
datatype	parent	empty	datatype_name	tree(datatype)	the parent datatype	
datatype	condition	empty	datatype_condition			
prefix	prefix		prefix	primary		
prefix	base		IRI	unique		
prefix	ontology IRI	empty	IRI		The ontology IRI for the ontology that is used as a source of external and/or import terms for MRO	
prefix	version IRI	empty	IRI		The version IRI of the ontology to use for external and/or import terms for MRO	
index	ID		CURIE			
index	label		label			
index	table		table			
assays	ontology ID		ontology_id	primary		ID
assays	label		label	unique		A rdfs:label
assays	editor preferred term	empty	label			A editor preferred term
assays	has curation status	empty	curation_status			AI has curation status
assays	alternative term	empty	label			A alternative term SPLIT=|
assays	definition		description			A definition SPLIT=|
assays	definition source	empty	trimmed_line			A definition source SPLIT=|
assays	example of usage	empty	description			A example of usage SPLIT=|
assays	term editor	empty	trimmed_line			A term editor SPLIT=|
assays	editor note	empty	description			A editor note SPLIT=|
assays	curator note	empty	description			A curator note SPLIT=|
assays	ontology term requester	empty	trimmed_line			A ontology term requester
assays	term tracker item	empty	IRI			A term tracker item
assays	logical type	empty	class_type			CLASS_TYPE
assays	logical note	empty	description			
assays	parent class		ontology_label			C %
assays	material processing technique	empty	split_ontology_label			C 'has part' some % SPLIT=|
assays	detection technique	empty	split_ontology_label			C 'has part' some (% and 'detection technique') SPLIT=|
assays	evaluant	empty	split_ontology_label			C (has_specified_input some (% and 'has role' some 'evaluant role')) and (realizes some ('evaluant role' and ('role of' some %))) SPLIT=|
assays	measurand	empty	ontology_label			C (has_specified_input some %) and (realizes some ('measurand role' and ('inheres in' some %)))
assays	analyte	empty	ontology_label			C (has_specified_input some %) and (realizes some ('analyte role' and ('inheres in' some %)))
assays	device	empty	split_ontology_label			C (has_specified_input some %) and (realizes some (function and ('inheres in' some %))) SPLIT=|
assays	reagent	empty	ontology_label			C (has_specified_input some %) and (realizes some ('reagent role' and ('inheres in' some %)))
assays	molecular label	empty	ontology_label			C (has_specified_input some %) and (realizes some ('molecular label role' and ('inheres in' some %)))
assays	input	empty	ontology_label			C has_specified_input some %
assays	output	empty	ontology_label			C has_specified_output some %
assays	target entity	empty	ontology_label			C has_specified_output some ('is about' some %)
assays	objective	empty	ontology_label			C achieves_planned_objective some %
assays	associated axioms	empty	manchester			C %
biobank_specimens	ontology ID		ontology_id	primary		ID
biobank_specimens	label		label	unique		A rdfs:label
biobank_specimens	editor preferred term	empty	label			A editor preferred term
biobank_specimens	has curation status	empty	curation_status			AI has curation status
biobank_specimens	alternative term	empty	label			A alternative term
biobank_specimens	definition		description			A definition
biobank_specimens	definition source	empty	trimmed_line			A definition source SPLIT=|
biobank_specimens	example of usage	empty	description			A example of usage SPLIT=|
biobank_specimens	term editor		trimmed_line			A term editor SPLIT=|
