Source	ID	Label	Parent ID	Parent Label	Related
chebi	CHEBI:15377	water	CHEBI:23367	molecular entity	
chebi	CHEBI:15422	ATP			ancestors
chebi	CHEBI:15956	biotin	CHEBI:23367	molecular entity	
chebi	CHEBI:16113	cholesterol			ancestors
chebi	CHEBI:16134	ammonia			ancestors
chebi	CHEBI:16526	carbon dioxide			ancestors
chebi	CHEBI:16670	peptide	CHEBI:33839	macromolecule	
chebi	CHEBI:166899	globulin type			ancestors
chebi	CHEBI:16737	creatinine			ancestors
chebi	CHEBI:168396	mycophenolic acid			ancestors
chebi	CHEBI:16990	bilirubin IXalpha			ancestors
chebi	CHEBI:16991	deoxyribonucleic acid	CHEBI:33696	nucleic acid	
chebi	CHEBI:17137	hydrogensulfite	CHEBI:23367	molecular entity	
chebi	CHEBI:17230	homocysteine			ancestors
chebi	CHEBI:17234	glucose	CHEBI:23367	molecular entity	
chebi	CHEBI:17423	methemoglobin			ancestors
chebi	CHEBI:17544	hydrogencarbonate			ancestors
chebi	CHEBI:17650	cortisol			ancestors
chebi	CHEBI:17709	5'-adenylyl sulfate	CHEBI:23367	molecular entity	
chebi	CHEBI:17855	triglyceride			ancestors
chebi	CHEBI:17996	chloride			ancestors
chebi	CHEBI:20067	3-hydroxybutyric acid			ancestors
chebi	CHEBI:23367	molecular entity	BFO:0000040	material entity	
chebi	CHEBI:23528	cytochalasin	CHEBI:23367	molecular entity	
chebi	CHEBI:23995	N-ethyl-N-nitrosourea	CHEBI:23367	molecular entity	
chebi	CHEBI:24636	proton	CHEBI:23367	molecular entity	
chebi	CHEBI:24875	iron cation			ancestors
chebi	CHEBI:25078	luciferin	CHEBI:23367	molecular entity	
chebi	CHEBI:2637	amikacin			ancestors
chebi	CHEBI:26710	sodium chloride	CHEBI:23367	molecular entity	
chebi	CHEBI:27226	uric acid			ancestors
chebi	CHEBI:27889	lead(0)	CHEBI:23367	molecular entity	
chebi	CHEBI:28001	vancomycin			ancestors
chebi	CHEBI:28358	rac-lactic acid	BFO:0000040	material entity	
chebi	CHEBI:28619	acrylamide	CHEBI:23367	molecular entity	
chebi	CHEBI:28689	dehydroepiandrosterone			ancestors
chebi	CHEBI:28774	3,3',5'-triiodothyronine			ancestors
chebi	CHEBI:28864	tobramycin			ancestors
chebi	CHEBI:29101	sodium(1+)			ancestors
chebi	CHEBI:29103	potassium(1+)			ancestors
chebi	CHEBI:29191	hydroxyl	CHEBI:23367	molecular entity	
chebi	CHEBI:29237	deuterium atom			ancestors
chebi	CHEBI:30660	thyroxine			ancestors
