Source	ID	Label	Parent ID	Parent Label	Related
cl	CL:0000000	cell	BFO:0000040	material entity	
cl	CL:0000001	primary cultured cell	CL:0000010	cultured cell	
cl	CL:0000003	native cell	CL:0000000	cell	
cl	CL:0000010	cultured cell	CL:0000578	experimentally modified cell in vitro	
cl	CL:0000057	fibroblast	CL:0000000	cell	
cl	CL:0000066	epithelial cell	CL:0000000	cell	
cl	CL:0000077	mesothelial cell			ancestors
cl	CL:0000084	T cell	CL:0000542	lymphocyte	
cl	CL:0000097	mast cell	CL:0000000	cell	
cl	CL:0000182	hepatocyte	CL:0000066	epithelial cell	
cl	CL:0000232	erythrocyte	CL:0000000	cell	
cl	CL:0000233	platelet			ancestors
cl	CL:0000235	macrophage	CL:0000000	cell	
cl	CL:0000236	B cell	CL:0000542	lymphocyte	
cl	CL:0000451	dendritic cell	CL:0000000	cell	
cl	CL:0000540	neuron	CL:0000000	cell	
cl	CL:0000542	lymphocyte	CL:0000842	mononuclear cell	
cl	CL:0000556	megakaryocyte			ancestors
cl	CL:0000558	reticulocyte	CL:0000000	cell	
cl	CL:0000560	band form neutrophil			ancestors
cl	CL:0000562	nucleate erythrocyte			ancestors
cl	CL:0000576	monocyte			ancestors
cl	CL:0000578	experimentally modified cell in vitro	CL:0000000	cell	
cl	CL:0000624	CD4-positive, alpha-beta T cell	CL:0000789	alpha-beta T cell	
cl	CL:0000625	CD8-positive, alpha-beta T cell	CL:0000789	alpha-beta T cell	
cl	CL:0000738	leukocyte	CL:0000000	cell	
cl	CL:0000767	basophil	CL:0000000	cell	
cl	CL:0000771	eosinophil			ancestors
cl	CL:0000775	neutrophil			ancestors
cl	CL:0000786	plasma cell	CL:0000236	B cell	
cl	CL:0000789	alpha-beta T cell	CL:0000084	T cell	
cl	CL:0000794	CD8-positive, alpha-beta cytotoxic T cell	CL:0000625	CD8-positive, alpha-beta T cell	
cl	CL:0000814	mature NK T cell	CL:0000789	alpha-beta T cell	
cl	CL:0000836	promyelocyte			ancestors
cl	CL:0000842	mononuclear cell	CL:0000000	cell	
cl	CL:0002192	metamyelocyte			ancestors
cl	CL:0002193	myelocyte			ancestors
cl	CL:0011114	segmented neutrophil of bone marrow			ancestors
