Source	ID	Label	Parent ID	Parent Label	Related
chebi	CHEBI:145810	insulin			
chebi	CHEBI:15377	water	CHEBI:23367	molecular entity	
chebi	CHEBI:15422	ATP			
chebi	CHEBI:15956	biotin	CHEBI:23367	molecular entity	
chebi	CHEBI:16113	cholesterol			
chebi	CHEBI:16134	ammonia			
chebi	CHEBI:16247	phospholipid			
chebi	CHEBI:16301	nitrite			
chebi	CHEBI:16526	carbon dioxide			
chebi	CHEBI:16670	peptide	CHEBI:33839	macromolecule	
chebi	CHEBI:166899	globulin type			
chebi	CHEBI:16737	creatinine			
chebi	CHEBI:168396	mycophenolic acid			
chebi	CHEBI:16919	creatine			
chebi	CHEBI:16990	bilirubin IXalpha			
chebi	CHEBI:16991	deoxyribonucleic acid	CHEBI:33696	nucleic acid	
chebi	CHEBI:17026	progesterone			
chebi	CHEBI:17137	hydrogensulfite	CHEBI:23367	molecular entity	
chebi	CHEBI:17230	homocysteine			
chebi	CHEBI:17234	glucose	CHEBI:23367	molecular entity	
chebi	CHEBI:17347	testosterone			
chebi	CHEBI:17423	methemoglobin			
chebi	CHEBI:17544	hydrogencarbonate			
chebi	CHEBI:17650	cortisol			
chebi	CHEBI:17709	5'-adenylyl sulfate	CHEBI:23367	molecular entity	
chebi	CHEBI:17855	triglyceride			
chebi	CHEBI:17996	chloride			
chebi	CHEBI:20067	3-hydroxybutyric acid			
chebi	CHEBI:22868	bile salt			
chebi	CHEBI:23367	molecular entity	BFO:0000040	material entity	
chebi	CHEBI:23528	cytochalasin	CHEBI:23367	molecular entity	
chebi	CHEBI:23965	estradiol			
chebi	CHEBI:23995	N-ethyl-N-nitrosourea	CHEBI:23367	molecular entity	
chebi	CHEBI:24636	proton	CHEBI:23367	molecular entity	
chebi	CHEBI:24875	iron cation			
chebi	CHEBI:25078	luciferin	CHEBI:23367	molecular entity	
chebi	CHEBI:2637	amikacin			
chebi	CHEBI:26710	sodium chloride	CHEBI:23367	molecular entity	
chebi	CHEBI:27226	uric acid			
chebi	CHEBI:27889	lead(0)	CHEBI:23367	molecular entity	
chebi	CHEBI:28001	vancomycin			
chebi	CHEBI:28358	rac-lactic acid	BFO:0000040	material entity	
chebi	CHEBI:28619	acrylamide	CHEBI:23367	molecular entity	
chebi	CHEBI:28689	dehydroepiandrosterone			
chebi	CHEBI:28774	3,3',5'-triiodothyronine			
chebi	CHEBI:28864	tobramycin			
chebi	CHEBI:29101	sodium(1+)			
chebi	CHEBI:29103	potassium(1+)			
chebi	CHEBI:29191	hydroxyl	CHEBI:23367	molecular entity	
chebi	CHEBI:29237	deuterium atom			
chebi	CHEBI:30660	thyroxine			
chebi	CHEBI:30682	ruthenium atom	CHEBI:23367	molecular entity	
chebi	CHEBI:31624	fluorescein	CHEBI:23367	molecular entity	
chebi	CHEBI:31642	gadodiamide hydrate	CHEBI:23367	molecular entity	
chebi	CHEBI:31643	gadoteridol	CHEBI:23367	molecular entity	
chebi	CHEBI:31991	phenol red	CHEBI:23367	molecular entity	
chebi	CHEBI:32142	sodium citrate dihydrate	CHEBI:23367	molecular entity	
chebi	CHEBI:33250	atom	BFO:0000040	material entity	
chebi	CHEBI:33262	elemental oxygen			
chebi	CHEBI:33321	rare earth metal atom			
chebi	CHEBI:33359	rhodium atom	CHEBI:23367	molecular entity	
chebi	CHEBI:33375	gadolinium atom	CHEBI:23367	molecular entity	
chebi	CHEBI:33376	terbium atom	CHEBI:23367	molecular entity	
chebi	CHEBI:33696	nucleic acid	CHEBI:33839	macromolecule	
chebi	CHEBI:33697	ribonucleic acid	CHEBI:33696	nucleic acid	
chebi	CHEBI:33709	amino acid	CHEBI:23367	molecular entity	
chebi	CHEBI:33839	macromolecule	CHEBI:23367	molecular entity	
chebi	CHEBI:35143	hemoglobin			
chebi	CHEBI:35366	fatty acid			
chebi	CHEBI:35729	gadolinium molecular entity	CHEBI:23367	molecular entity	
chebi	CHEBI:35780	phosphate ion			
chebi	CHEBI:37333	gadodiamide	CHEBI:23367	molecular entity	
chebi	CHEBI:37445	folic acids			
chebi	CHEBI:37586	sodium phosphate	CHEBI:23367	molecular entity	
chebi	CHEBI:37972	phosphorus-32 atom	CHEBI:33250	atom	
chebi	CHEBI:37973	phosphorus-33 atom	CHEBI:33250	atom	
chebi	CHEBI:37987	Cy3 dye	CHEBI:23367	molecular entity	
chebi	CHEBI:37989	Cy5 dye	CHEBI:23367	molecular entity	
chebi	CHEBI:39025	high-density lipoprotein			
chebi	CHEBI:39026	low-density lipoprotein			
chebi	CHEBI:39027	very-low-density lipoprotein			
chebi	CHEBI:39123	calcium cation			
chebi	CHEBI:39124	calcium io			
chebi	CHEBI:39127	magnesium cation			
chebi	CHEBI:39867	valproic acid			
chebi	CHEBI:42098	digoxigenin	CHEBI:23367	molecular entity	
chebi	CHEBI:42191	ethylenediaminetetraacetic acid	CHEBI:23367	molecular entity	
chebi	CHEBI:4551	digoxin			
chebi	CHEBI:4705	double-stranded DNA	CHEBI:16991	deoxyribonucleic acid	
chebi	CHEBI:472552	5-bromo-2'-deoxyuridine	CHEBI:23367	molecular entity	
chebi	CHEBI:47774	low-density lipoprotein cholesterol			
chebi	CHEBI:47775	high-density lipoprotein cholesterol			
chebi	CHEBI:50076	chromium-51	CHEBI:23367	molecular entity	
chebi	CHEBI:51756	Alexa Fluor 532	CHEBI:23367	molecular entity	
chebi	CHEBI:51760	Alexa Fluor 546	CHEBI:23367	molecular entity	
chebi	CHEBI:52673	Alexa Fluor 555	CHEBI:23367	molecular entity	
chebi	CHEBI:53526	tritiated thymidine	CHEBI:23367	molecular entity	
chebi	CHEBI:59050	dimethyl sulfate	CHEBI:23367	molecular entity	
chebi	CHEBI:59051	diethyl pyrocarbonate	CHEBI:23367	molecular entity	
chebi	CHEBI:59052	1,1-dihydroxy-3-ethoxy-2-butanone	CHEBI:23367	molecular entity	
chebi	CHEBI:59053	N-cyclohexyl-N'-(2-(4-morpholinyl)ethyl)carbodiimide	CHEBI:23367	molecular entity	
chebi	CHEBI:59054	N-methylisatoic anhydride	CHEBI:23367	molecular entity	
chebi	CHEBI:59055	(S)-1-(4-bromoacetamidobenzyl)EDTA	CHEBI:23367	molecular entity	
chebi	CHEBI:59056	EDTA methidiumpropylamide	CHEBI:23367	molecular entity	
chebi	CHEBI:59424	bromophenol blue	CHEBI:23367	molecular entity	
chebi	CHEBI:61057	tacrolimus hydrate			
chebi	CHEBI:61073	oxygen radical			
chebi	CHEBI:6495	lipoprotein			
chebi	CHEBI:81567	thyroid stimulating hormone			
chebi	CHEBI:81568	Luteinizing hormone			
chebi	CHEBI:81569	Follicle stimulating hormone			
chebi	CHEBI:86319	25-hydroxyvitamin D2			
chebi	CHEBI:9754	tris	CHEBI:23367	molecular entity	
cl	CL:0000000	cell	BFO:0000040	material entity	
cl	CL:0000001	primary cultured cell	CL:0000010	cultured cell	
cl	CL:0000003	native cell	CL:0000000	cell	
cl	CL:0000010	cultured cell	CL:0000578	experimentally modified cell in vitro	
cl	CL:0000057	fibroblast	CL:0000000	cell	
cl	CL:0000066	epithelial cell	CL:0000000	cell	
cl	CL:0000077	mesothelial cell			
cl	CL:0000084	T cell	CL:0000542	lymphocyte	
cl	CL:0000097	mast cell	CL:0000000	cell	
cl	CL:0000182	hepatocyte	CL:0000066	epithelial cell	
cl	CL:0000232	erythrocyte	CL:0000000	cell	
cl	CL:0000233	platelet			
cl	CL:0000235	macrophage	CL:0000000	cell	
cl	CL:0000236	B cell	CL:0000542	lymphocyte	
cl	CL:0000451	dendritic cell	CL:0000000	cell	
cl	CL:0000540	neuron	CL:0002319	neural cell	
cl	CL:0000542	lymphocyte	CL:0000842	mononuclear cell	
