Source	ID	Label	Parent ID	Parent Label	Related
ncbitaxon	NCBITaxon:10090	Mus musculus			ancestors
ncbitaxon	NCBITaxon:10116	Rattus norvegicus			ancestors
ncbitaxon	NCBITaxon:10239	Viruses	OBI:0100026	organism	
ncbitaxon	NCBITaxon:10358	Cytomegalovirus			ancestors
ncbitaxon	NCBITaxon:10376	Human gammaherpesvirus 4			ancestors
ncbitaxon	NCBITaxon:10407	Hepatitis B virus			ancestors
ncbitaxon	NCBITaxon:11103	Hepacivirus C			ancestors
ncbitaxon	NCBITaxon:11676	Human immunodeficiency virus 1			ancestors
ncbitaxon	NCBITaxon:11709	Human immunodeficiency virus 2			ancestors
ncbitaxon	NCBITaxon:160	Treponema pallidum			ancestors
ncbitaxon	NCBITaxon:2	Bacteria	OBI:0100026	organism	
ncbitaxon	NCBITaxon:2157	Archaea	OBI:0100026	organism	
ncbitaxon	NCBITaxon:2759	Eukaryota	OBI:0100026	organism	
ncbitaxon	NCBITaxon:3702	Arabidopsis thaliana			ancestors
ncbitaxon	NCBITaxon:388799	HIV-1 group O			ancestors
ncbitaxon	NCBITaxon:40674	Mammalia			ancestors
ncbitaxon	NCBITaxon:44689	Dictyostelium discoideum			ancestors
ncbitaxon	NCBITaxon:4896	Schizosaccharomyces pombe			ancestors
ncbitaxon	NCBITaxon:4932	Saccharomyces cerevisiae			ancestors
ncbitaxon	NCBITaxon:5140	Neurospora			ancestors
ncbitaxon	NCBITaxon:6239	Caenorhabditis elegans			ancestors
ncbitaxon	NCBITaxon:6656	Arthropoda			ancestors
ncbitaxon	NCBITaxon:6668	Daphnia			ancestors
ncbitaxon	NCBITaxon:7227	Drosophila melanogaster			ancestors
ncbitaxon	NCBITaxon:7742	Vertebrata <Metazoa>			ancestors
ncbitaxon	NCBITaxon:7955	Danio rerio			ancestors
ncbitaxon	NCBITaxon:8353	Xenopus <genus>			ancestors
ncbitaxon	NCBITaxon:9031	Gallus gallus			ancestors
ncbitaxon	NCBITaxon:9606	Homo sapiens			ancestors
ncbitaxon	NCBITaxon:9989	Rodentia			ancestors
