Source	ID	Label	Parent ID	Parent Label	Related
pato	PATO:0000011	age			ancestors
pato	PATO:0000018	fluorescence			ancestors
pato	PATO:0000047	biological sex			ancestors
pato	PATO:0000140	position			ancestors
pato	PATO:0000146	temperature			ancestors
pato	PATO:0000186	behavioral quality			ancestors
pato	PATO:0000383	female			ancestors
pato	PATO:0000384	male			ancestors
pato	PATO:0000918	volume			ancestors
pato	PATO:0001025	pressure			ancestors
pato	PATO:0001161	diluted			ancestors
pato	PATO:0001167	damaged			ancestors
pato	PATO:0001193	lateral to			ancestors
pato	PATO:0001196	ventral to			ancestors
pato	PATO:0001233	dorsal to			ancestors
pato	PATO:0001241	physical object quality	BFO:0000019	quality	
pato	PATO:0001338	mixed sex			ancestors
pato	PATO:0001339	biomaterial purity			ancestors
pato	PATO:0001340	hermaphrodite			ancestors
pato	PATO:0001341	a mating type (yeast)			ancestors
pato	PATO:0001344	alpha mating type (yeast)			ancestors
pato	PATO:0001345	h minus			ancestors
pato	PATO:0001346	h plus			ancestors
pato	PATO:0001347	F mating type			ancestors
pato	PATO:0001348	F minus mating type			ancestors
pato	PATO:0001374	ploidy			ancestors
pato	PATO:0001375	haploid			ancestors
pato	PATO:0001377	polyploid			ancestors
pato	PATO:0001385	aneuploid			ancestors
pato	PATO:0001394	diploid			ancestors
pato	PATO:0001396	cellular quality			ancestors
pato	PATO:0001421	alive			ancestors
pato	PATO:0001422	dead			ancestors
pato	PATO:0001546	quality of a solid			ancestors
pato	PATO:0001547	quality of a gas			ancestors
pato	PATO:0001548	quality of a liquid			ancestors
pato	PATO:0001632	anterior to			ancestors
pato	PATO:0001741	radioactive			ancestors
pato	PATO:0001792	left side of			ancestors
pato	PATO:0001793	right side of			ancestors
pato	PATO:0001985	frozen			ancestors
pato	PATO:0001995	organismal quality			ancestors
pato	PATO:0002027	osmolality			ancestors
pato	PATO:0002201	handedness			ancestors
pato	PATO:0002202	left handedness			ancestors
pato	PATO:0002203	right handedness			ancestors
pato	PATO:0002204	ambidextrous handedness			ancestors
pato	PATO:0002243	fluid flow rate			ancestors
