Source	ID	Label	Parent ID	Parent Label	Related
pr	PR:000000001	protein	CHEBI:16670	peptide	
pr	PR:000001004	CD4 molecule	PR:000000001	protein	
pr	PR:000001018	CD3 subunit with immunoglobulin domain	PR:000000001	protein	
pr	PR:000003015	prostate-specific antigen			ancestors
pr	PR:000003252	antithrombin-III	PR:000000001	protein	
pr	PR:000003745	double-stranded RNA-specific adenosine deaminase	PR:000000001	protein	
pr	PR:000003918	albumin			ancestors
pr	PR:000004580	beta-2-microglobulin			ancestors
pr	PR:000005794	ceruloplasmin			ancestors
pr	PR:000005897	C-reactive protein			ancestors
pr	PR:000006592	deoxyribonuclease-1	PR:000000001	protein	
pr	PR:000007141	erythropoietin			ancestors
pr	PR:000007928	glial cell line-derived neurotrophic factor	PR:000000001	protein	
pr	PR:000008457	beta-globin			ancestors
pr	PR:000008725	haptoglobin			ancestors
pr	PR:000013429	parathyroid hormone	PR:000000001	protein	
pr	PR:000014060	ribonuclease T2	PR:000000001	protein	
pr	PR:000016261	serotransferrin			ancestors
pr	PR:000016801	transthyretin			ancestors
pr	PR:000023089	DNA ligase	PR:000000001	protein	
pr	PR:000025402	T cell receptor co-receptor CD8	PR:000000001	protein	
pr	PR:000025467	guanyl-specific ribonuclease T1	PR:000000001	protein	
pr	PR:000025471	nuclease S1	PR:000000001	protein	
pr	PR:000025475	ribonuclease U2	PR:000000001	protein	
pr	PR:000025477	ribonuclease V1 (cobra)	PR:000000001	protein	
pr	PR:000025478	ribonuclease CL3 (chicken)	PR:000000001	protein	
pr	PR:000027247	cytosolic creatine kinase complex, MB-type	GO:0032991	macromolecular complex	
pr	PR:000029971	creatine kinase			ancestors
pr	PR:000029983	protein-glutamine gamma-glutamyltransferase			ancestors
pr	PR:000050219	alanine aminotransferase			ancestors
pr	PR:000050331	lactate dehydrogenase complex	GO:0032991	macromolecular complex	
pr	PR:000050343	alkaline phosphatase (human)			ancestors
pr	PR:000050353	aspartate aminotransferase (human)			ancestors
pr	PR:000050469	hemoglobin A1c	GO:0032991	macromolecular complex	
