ontology ID	label	action	logical type	parent class
ID			CLASS_TYPE	C %
CHEBI:138675	gas molecular entity	ignore		
CHEBI:139588	alpha-hydroxy ketone	ignore		
CHEBI:145810	insulin	import		
CHEBI:15377	water	import		COB:0000013
CHEBI:15422	ATP	import		COB:0000013
CHEBI:15956	biotin	import		COB:0000013
CHEBI:16113	cholesterol	import		COB:0000013
CHEBI:16134	ammonia	import		COB:0000013
CHEBI:16247	phospholipid	import		COB:0000013
CHEBI:16301	nitrite	import		COB:0000013
CHEBI:16526	carbon dioxide	import		COB:0000013
CHEBI:16670	peptide	import		CHEBI:33839
CHEBI:166899	globulin type	import		COB:0000013
CHEBI:16737	creatinine	import		COB:0000013
CHEBI:168396	mycophenolic acid	import		COB:0000013
CHEBI:16919	creatine	import		COB:0000013
CHEBI:16990	bilirubin IXalpha	import		COB:0000013
CHEBI:16991	deoxyribonucleic acid	import		CHEBI:33696
CHEBI:17026	progesterone	import		COB:0000013
CHEBI:17087	ketone	ignore		
CHEBI:17089	glycoprotein	ignore		
CHEBI:17137	hydrogensulfite	import		COB:0000013
CHEBI:1722	3beta-hydroxy-Delta(5)-steroid	ignore		
CHEBI:17230	homocysteine	import		COB:0000013
CHEBI:17234	glucose	import		COB:0000013
CHEBI:17326	nucleoside 5	ignore		
CHEBI:17347	testosterone	import		COB:0000013
CHEBI:17423	methemoglobin	import		COB:0000013
CHEBI:17544	hydrogencarbonate	import		COB:0000013
CHEBI:17650	cortisol	import		COB:0000013
CHEBI:17709	5	import		COB:0000013
CHEBI:17792	organohalogen compound	ignore		
CHEBI:17855	triglyceride	import		COB:0000013
CHEBI:17996	chloride	import		COB:0000013
CHEBI:18059	lipid	ignore		
CHEBI:19255	pyrimidine 2	ignore		
CHEBI:20067	3-hydroxybutyric acid	import		COB:0000013
CHEBI:22479	amino cyclitol glycoside	ignore		
CHEBI:22563	anion	ignore		
CHEBI:22728	benzopyrrole	ignore		
CHEBI:22868	bile salt	import		COB:0000013
CHEBI:23117	chlorine molecular entity	ignore		
CHEBI:23367	molecular entity	ignore		
CHEBI:23528	cytochalasin	import		COB:0000013
CHEBI:23636	deoxyribonucleoside	ignore		
CHEBI:23906	monoatomic cation	ignore		
CHEBI:23965	estradiol	import		COB:0000013
CHEBI:23995	N-ethyl-N-nitrosourea	import		COB:0000013
CHEBI:24278	glucoside	ignore		
CHEBI:24400	glycoside	ignore		
CHEBI:24431	chemical entity	ignore		
CHEBI:24432	biological role	ignore		
CHEBI:24471	halogen molecular entity	ignore		
CHEBI:24532	organic heterocyclic compound	ignore		
CHEBI:24621	hormone	import		COB:0000013
CHEBI:24636	proton	import		COB:0000013
CHEBI:24651	hydroxides	ignore		
CHEBI:24654	hydroxy fatty acid	ignore		
CHEBI:24669	hydroxy carboxylic acid	ignore		
CHEBI:24828	indoles	ignore		
CHEBI:24834	inorganic anion	ignore		
CHEBI:24835	inorganic molecular entity	ignore		
CHEBI:24839	inorganic salt	ignore		
CHEBI:24864	iodothyronine	ignore		
CHEBI:24866	salt	ignore		
CHEBI:24867	monoatomic ion	ignore		
CHEBI:24870	ion	ignore		
CHEBI:24875	iron cation	import		COB:0000013
CHEBI:25000	lactone	ignore		
CHEBI:25078	luciferin	import		COB:0000013
CHEBI:25213	metal cation	ignore		
CHEBI:25367	molecule	ignore		
CHEBI:25384	monocarboxylic acid	ignore		
CHEBI:25414	monoatomic monocation	ignore		
CHEBI:25585	nonmetal atom	ignore		
CHEBI:25608	nucleoside phosphate	ignore		
CHEBI:25693	organic heteromonocyclic compound	ignore		
CHEBI:25696	organic anion	ignore		
CHEBI:25703	organic phosphate	ignore		
CHEBI:25704	organic sulfate	ignore		
CHEBI:25741	oxide	ignore		
CHEBI:25806	oxygen molecular entity	ignore		
CHEBI:25900	aldopentose phosphate	ignore		
CHEBI:26020	phosphate	ignore		
CHEBI:26079	phosphoric acid derivative	ignore		
CHEBI:26082	phosphorus molecular entity	ignore		
CHEBI:26191	polyol	ignore		
CHEBI:2637	amikacin	import		COB:0000013
CHEBI:26395	purine nucleotide	ignore		
CHEBI:26400	purine ribonucleotide	ignore		
CHEBI:26401	purines	ignore		
CHEBI:26523	reactive oxygen species	ignore		
CHEBI:26561	ribonucleotide	ignore		
CHEBI:26710	sodium chloride	import		COB:0000013
CHEBI:26712	sodium molecular entity	ignore		
CHEBI:26714	sodium salt	ignore		
CHEBI:26764	steroid hormone	ignore		
CHEBI:26766	steroid lactone	ignore		
CHEBI:26835	sulfur molecular entity	ignore		
CHEBI:26912	oxolanes	ignore		
CHEBI:26979	organic heterotricyclic compound	ignore		
CHEBI:27081	transition element atom	ignore		
CHEBI:27171	organic heterobicyclic compound	ignore		
CHEBI:27226	uric acid	import		COB:0000013
CHEBI:27889	lead(0)	import		COB:0000013
CHEBI:28001	vancomycin	import		COB:0000013
CHEBI:28358	rac-lactic acid	import		BFO:0000040
CHEBI:28619	acrylamide	import		COB:0000013
CHEBI:28659	phosphorus atom	ignore		
CHEBI:28689	dehydroepiandrosterone	import		COB:0000013
CHEBI:28774	3,3	import		COB:0000013
CHEBI:28864	tobramycin	import		COB:0000013
CHEBI:29101	sodium(1+)	import		COB:0000013
CHEBI:29103	potassium(1+)	import		COB:0000013
CHEBI:29191	hydroxyl	import		COB:0000013
CHEBI:29237	deuterium atom	import		COB:0000011
CHEBI:30660	thyroxine	import		COB:0000013
CHEBI:30682	ruthenium atom	import		COB:0000013
CHEBI:30879	alcohol	ignore		
CHEBI:31624	fluorescein (lactone form)	import		COB:0000013
CHEBI:31642	gadodiamide hydrate	import		COB:0000013
CHEBI:31643	gadoteridol	import		COB:0000013
CHEBI:31991	phenol red	import		COB:0000013
CHEBI:32142	sodium citrate dihydrate	import		COB:0000013
CHEBI:32875	methyl group	import		COB:0000013
CHEBI:32988	amide	ignore		
CHEBI:33238	monoatomic entity	ignore		
CHEBI:33241	oxoacid derivative	ignore		
CHEBI:33242	inorganic hydride	ignore		
CHEBI:33249	organyl group	ignore		
CHEBI:33250	atom	ignore		
CHEBI:33256	primary amide	ignore		
CHEBI:33259	elemental molecular entity	ignore		
CHEBI:33261	organosulfur compound	ignore		
CHEBI:33262	elemental oxygen	import		COB:0000013
CHEBI:33285	heteroorganic entity	ignore		
CHEBI:33296	alkali metal molecular entity	ignore		
CHEBI:33299	alkaline earth molecular entity	ignore		
CHEBI:33302	pnictogen molecular entity	ignore		
CHEBI:33304	chalcogen molecular entity	ignore		
CHEBI:33308	carboxylic ester	ignore		
CHEBI:33319	lanthanoid atom	ignore		
CHEBI:33321	rare earth metal atom	import		COB:0000011
CHEBI:33359	rhodium atom	import		COB:0000013
CHEBI:33375	gadolinium atom	import		COB:0000013
CHEBI:33376	terbium atom	import		COB:0000013
CHEBI:33424	sulfur oxoacid derivative	ignore		
CHEBI:33447	phospho sugar	ignore		
CHEBI:33459	pnictogen oxoanion	ignore		
CHEBI:33497	transition element molecular entity	ignore		
CHEBI:33504	alkali metal cation	ignore		
CHEBI:33513	alkaline earth cation	ignore		
CHEBI:33521	metal atom	ignore		
CHEBI:33552	sulfonic acid derivative	ignore		
CHEBI:33561	d-block element atom	ignore		
CHEBI:33562	f-block element atom	ignore		
CHEBI:33575	carboxylic acid	ignore		
CHEBI:33579	main group molecular entity	ignore		
CHEBI:33582	carbon group molecular entity	ignore		
CHEBI:33595	cyclic compound	ignore		
CHEBI:33608	hydrogen molecular entity	ignore		
CHEBI:33635	polycyclic compound	ignore		
CHEBI:33659	organic aromatic compound	ignore		
