ontology ID	label	action	logical type	parent class
ID			CLASS_TYPE	C %
BFO:0000001	entity	ignore		
BFO:0000040	material entity	ignore		
CL:0000000	cell	ignore		
CL:0000010	cultured cell	ignore		
CL:0001034	cell in vitro	ignore		
CLO:0000001	cell line cell	import	subclass	cultured cell
CLO:0000018	mortal cell line cell	import		
CLO:0000019	immortal cell line cell	import		
CLO:0000031	cell line	import	subclass	cultured cell population
CLO:0009828	immortal cell line	import		
CLO:0009829	mortal cell line	import		
OBI:0000047	processed material	ignore		
OBI:0100060	cultured cell population	ignore		
