ontology ID	label	action	logical type	parent class
ID			CLASS_TYPE	C %
GO:0000785	chromatin	import		
GO:0001046	core promoter sequence-specific DNA binding	import		
GO:0001172	RNA-templated transcription	import		
GO:0001508	action potential	import		
GO:0001788	antibody-dependent cellular cytotoxicity	import		
GO:0001806	type IV hypersensitivity	import		
GO:0001816	cytokine production	import		
GO:0001906	cell killing	import		
GO:0001909	leukocyte mediated cytotoxicity	ignore		
GO:0001913	T cell mediated cytotoxicity	import		
GO:0001964	startle response	import		
GO:0002027	regulation of heart rate	import		
GO:0002250	adaptive immune response	import		
GO:0002252	immune effector process	ignore		
GO:0002367	cytokine production involved in immune response	import		
GO:0002376	immune system process	ignore		
GO:0002390	platelet activating factor production involved in inflammatory response	import		
GO:0002437	inflammatory response to antigenic stimulus	ignore		
GO:0002440	production of molecular mediator of immune response	ignore		
GO:0002443	leukocyte mediated immunity	ignore		
GO:0002449	lymphocyte mediated immunity	ignore		
GO:0002456	T cell mediated immunity	ignore		
GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	ignore		
GO:0002507	tolerance induction	import		
GO:0002514	B cell tolerance induction	import		
GO:0002517	T cell tolerance induction	import		
GO:0002524	hypersensitivity	import		
GO:0002534	cytokine production involved in inflammatory response	import		
GO:0002682	regulation of immune system process	ignore		
GO:0002684	positive regulation of immune system process	ignore		
GO:0002697	regulation of immune effector process	ignore		
GO:0002703	regulation of leukocyte mediated immunity	ignore		
GO:0002706	regulation of lymphocyte mediated immunity	ignore		
GO:0002708	positive regulation of lymphocyte mediated immunity	ignore		
GO:0002819	regulation of adaptive immune response	ignore		
GO:0002822	regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	ignore		
GO:0002824	positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	ignore		
GO:0003008	system process	ignore		
GO:0003016	respiratory system process	import		
GO:0003094	glomerular filtration	import		
GO:0003674	molecular_function	import	subclass	process
GO:0003676	nucleic acid binding	ignore		
GO:0003677	DNA binding	ignore		
GO:0003823	antigen binding	import		
GO:0003824	catalytic activity	import		
GO:0003939	L-iditol 2-dehydrogenase (NAD+) activity	import		
GO:0003964	RNA-directed DNA polymerase activity	import		
GO:0003990	acetylcholinesterase activity	import		
GO:0003997	acyl-CoA oxidase activity	import		
GO:0004021	L-alanine:2-oxoglutarate aminotransferase activity	import		
GO:0004035	alkaline phosphatase activity	import		
GO:0004069	L-aspartate:2-oxoglutarate aminotransferase activity	import		
GO:0004104	cholinesterase activity	import		
GO:0004111	creatine kinase activity	import		
GO:0004353	glutamate dehydrogenase [NAD(P)+] activity	import		
GO:0004364	glutathione transferase activity	import		
GO:0004448	isocitrate dehydrogenase [NAD(P)+] activity	import		
GO:0004457	lactate dehydrogenase activity	import		
GO:0004540	RNA nuclease activity	import		
GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	ignore		
GO:0005216	monoatomic ion channel activity	import		
GO:0005488	binding	ignore		
GO:0005575	cellular_component	import	subclass	material entity
GO:0005577	fibrinogen complex	import		
GO:0005694	chromosome	import		
GO:0005739	mitochondrion	import		
GO:0006006	glucose metabolic process	import		
GO:0006139	nucleobase-containing compound metabolic process	ignore		
GO:0006260	DNA replication	import		
GO:0006338	chromatin remodeling	import		
GO:0006810	transport	ignore		
GO:0006909	phagocytosis	import		
GO:0006950	response to stress	ignore		
GO:0006952	defense response	ignore		
GO:0006954	inflammatory response	ignore		
GO:0006955	immune response	import		
GO:0006974	DNA damage response	import		
GO:0007049	cell cycle	import		
GO:0007283	spermatogenesis	import		
GO:0007596	blood coagulation	import		
GO:0007611	learning or memory	import		
GO:0008150	biological_process	import	subclass	process
GO:0008152	metabolic process	ignore		
GO:0008217	regulation of blood pressure	import		
GO:0008228	opsonization	import		
GO:0008253	5	import		
GO:0008283	cell population proliferation	import		
GO:0008483	transaminase activity	ignore		
GO:0009058	biosynthetic process	ignore		
GO:0009059	macromolecule biosynthetic process	ignore		
GO:0009566	fertilization	import		
GO:0009605	response to external stimulus	ignore		
GO:0009987	cellular process	import		
GO:0010467	gene expression	import		
GO:0010573	vascular endothelial growth factor production	import		
GO:0015925	galactosidase activity	import		
GO:0016043	cellular component organization	ignore		
GO:0016064	immunoglobulin mediated immune response	import		
GO:0016160	amylase activity	import		
GO:0016192	vesicle-mediated transport	ignore		
GO:0016231	beta-N-acetylglucosaminidase activity	import		
GO:0016491	oxidoreductase activity	ignore		
GO:0016614	oxidoreductase activity, acting on CH-OH group of donors	ignore		
GO:0016616	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	ignore		
GO:0016740	transferase activity	ignore		
GO:0016772	transferase activity, transferring phosphorus-containing groups	ignore		
GO:0016787	hydrolase activity	ignore		
GO:0016788	hydrolase activity, acting on ester bonds	import		
GO:0016791	phosphatase activity	ignore		
GO:0019538	protein metabolic process	ignore		
GO:0019814	immunoglobulin complex	import		
GO:0019815	B cell receptor complex	import		
GO:0019882	antigen processing and presentation	import		
GO:0019904	protein domain specific binding	import	subclass	binding
GO:0021700	developmental maturation	import		
GO:0022414	reproductive process	import		
GO:0022857	transmembrane transporter activity	ignore		
GO:0030041	actin filament polymerization	import		
GO:0030097	hemopoiesis	import		
GO:0030154	cell differentiation	import		
GO:0032501	multicellular organismal process	ignore		
GO:0032502	developmental process	ignore		
GO:0032601	connective tissue growth factor production	import		
GO:0032602	chemokine production	import		
GO:0032604	granulocyte macrophage colony-stimulating factor production	import		
GO:0032605	hepatocyte growth factor production	import		
GO:0032606	type I interferon production	import		
GO:0032607	interferon-alpha production	import		
GO:0032608	interferon-beta production	import		
GO:0032609	type II interferon production	import		
GO:0032610	interleukin-1 alpha production	import		
GO:0032611	interleukin-1 beta production	import		
GO:0032612	interleukin-1 production	import		
GO:0032613	interleukin-10 production	import		
GO:0032614	interleukin-11 production	import		
GO:0032615	interleukin-12 production	import		
GO:0032616	interleukin-13 production	import		
GO:0032618	interleukin-15 production	import		
GO:0032619	interleukin-16 production	import		
GO:0032620	interleukin-17 production	import		
GO:0032621	interleukin-18 production	import		
GO:0032622	interleukin-19 production	import		
GO:0032623	interleukin-2 production	import		
GO:0032624	interleukin-20 production	import		
GO:0032625	interleukin-21 production	import		
GO:0032626	interleukin-22 production	import		
GO:0032627	interleukin-23 production	import		
GO:0032628	interleukin-24 production	import		
GO:0032629	interleukin-25 production	import		
GO:0032630	interleukin-26 production	import		
GO:0032631	interleukin-27 production	import		
GO:0032632	interleukin-3 production	import		
GO:0032633	interleukin-4 production	import		
GO:0032634	interleukin-5 production	import		
GO:0032635	interleukin-6 production	import		
GO:0032636	interleukin-7 production	import		
GO:0032637	interleukin-8 production	import		
GO:0032638	interleukin-9 production	import		
GO:0032639	TRAIL production	import		
GO:0032640	tumor necrosis factor production	import		
GO:0032641	lymphotoxin A production	import		
GO:0032905	transforming growth factor beta1 production	import		
GO:0032906	transforming growth factor beta2 production	import		
GO:0032907	transforming growth factor beta3 production	import		
GO:0032940	secretion by cell	ignore		
GO:0032991	protein-containing complex	import		
GO:0033036	macromolecule localization	import		
GO:0034061	DNA polymerase activity	import		
GO:0034343	type III interferon production	import		
GO:0035393	chemokine (C-X-C motif) ligand 9 production	import		
GO:0035397	helper T cell enhancement of adaptive immune response	import		
GO:0035398	helper T cell enhancement of T cell mediated immune response	import		
GO:0035399	helper T cell enhancement of B cell mediated immune response	import		
GO:0035746	granzyme A production	import		
GO:0035944	perforin production	import		
GO:0036262	granulysin production	import		
GO:0036392	chemokine (C-C motif) ligand 20 production	import		
GO:0042098	T cell proliferation	import		
GO:0042101	T cell receptor complex	import		
GO:0042110	T cell activation	import		
GO:0042571	immunoglobulin complex, circulating	import		
GO:0042575	DNA polymerase complex	import		
GO:0042605	peptide antigen binding	import		
GO:0042611	MHC protein complex	import		
GO:0043170	macromolecule metabolic process	ignore		
GO:0043226	organelle	ignore		
GO:0043227	membrane-bounded organelle	import		
GO:0043229	intracellular organelle	ignore		
GO:0043316	cytotoxic T cell degranulation	import		
GO:0043565	sequence-specific DNA binding	import	subclass	binding
GO:0044238	primary metabolic process	ignore		
GO:0044807	macrophage migration inhibitory factor production	import		
GO:0044808	oncostatin M production	import		
GO:0044809	chemokine (C-C motif) ligand 17 production	import		
GO:0045087	innate immune response	import		
GO:0046649	lymphocyte activation	ignore		
GO:0046903	secretion	ignore		
GO:0047823	D-glutamyltransferase activity	import		
GO:0048518	positive regulation of biological process	ignore		
GO:0048583	regulation of response to stimulus	ignore		
GO:0048869	cellular developmental process	import		
GO:0048871	multicellular organismal-level homeostasis	import		
GO:0050776	regulation of immune response	ignore		
GO:0050789	regulation of biological process	ignore		
GO:0050877	nervous system process	ignore		
GO:0050896	response to stimulus	import		
GO:0050905	neuromuscular process	import		
GO:0051179	localization	ignore		
GO:0051234	establishment of localization	ignore		
GO:0051276	chromosome organization	import		
GO:0052689	carboxylic ester hydrolase activity	import		
GO:0065007	biological regulation	ignore		
GO:0065008	regulation of biological quality	ignore		
GO:0070288	ferritin complex	import		
GO:0070358	actin polymerization-dependent cell motility	import		
GO:0071604	transforming growth factor beta production	import		
GO:0071605	monocyte chemotactic protein-1 production	import		
GO:0071606	chemokine (C-C motif) ligand 4 production	import		
GO:0071607	macrophage inflammatory protein-1 gamma production	import		
GO:0071608	macrophage inflammatory protein-1 alpha production	import		
GO:0071609	chemokine (C-C motif) ligand 5 production	import		
GO:0071610	chemokine (C-C motif) ligand 1 production	import		
GO:0071611	granulocyte colony-stimulating factor production	import		
GO:0071612	IP-10 production	import		
GO:0071613	granzyme B production	import		
GO:0071706	tumor necrosis factor superfamily cytokine production	import		
GO:0071735	IgG immunoglobulin complex	import		
GO:0071742	IgE immunoglobulin complex	import		
GO:0071745	IgA immunoglobulin complex	import		
GO:0071753	IgM immunoglobulin complex	import		
GO:0071924	chemokine (C-C motif) ligand 22 production	import		
GO:0072535	tumor necrosis factor (ligand) superfamily member 11 production	import		
GO:0090304	nucleic acid metabolic process	ignore		
GO:0097087	interleukin-17A production	import		
GO:0097088	interleukin-17F production	import		
GO:0097278	complement-dependent cytotoxicity	import		
GO:0097280	histamine secretion mediated by immunoglobulin	import		
GO:0097281	immune complex formation	import		
GO:0097282	immunoglobulin-mediated neutralization	import		
GO:0097388	chemokine (C-C motif) ligand 19 production	import		
GO:0097389	chemokine (C-C motif) ligand 21 production	import		
GO:0097390	chemokine (C-X-C motif) ligand 12 production	import		
GO:0097391	chemokine (C-X-C motif) ligand 13 production	import		
GO:0097392	chemokine (C-X-C motif) ligand 16 production	import		
GO:0098797	plasma membrane protein complex	ignore		
GO:0098802	plasma membrane signaling receptor complex	ignore		
GO:0110165	cellular anatomical structure	ignore		
GO:0140640	catalytic activity, acting on a nucleic acid	ignore		
GO:0140730	amphiregulin production	import		
GO:0140779	XCL1 production	import		
