ontology ID	label	action	logical type	parent class
ID			CLASS_TYPE	C %
BFO:0000001	entity	ignore		
BFO:0000002	continuant	ignore		
BFO:0000031	generically dependent continuant	import		
BFO:0000040	material entity	import		
IAO:0000001	conditional specification	import		
IAO:0000003	measurement unit label	import		
IAO:0000004	has measurement value	relate		
IAO:0000005	objective specification	import		
IAO:0000006	narrative object	import		
IAO:0000009	datum label	import		
IAO:0000010	software	import		
IAO:0000027	data item	import		
IAO:0000028	symbol	import		
IAO:0000030	information content entity	import		
IAO:0000032	scalar measurement datum	import		
IAO:0000033	directive information entity	import		
IAO:0000037	dot plot	import		
IAO:0000038	graph	import		
IAO:0000039	has measurement unit label	relate		
IAO:0000055	rule	import		
IAO:0000064	algorithm	import		
IAO:0000078	curation status specification	import		
IAO:0000079	density plot	import		
IAO:0000088	report	import		
IAO:0000098	data format specification	import		
IAO:0000100	data set	import		
IAO:0000101	image	import		
IAO:0000104	plan specification	import		
IAO:0000109	measurement datum	import		
IAO:0000136	is about	relate		
IAO:0000144	conclusion textual entity	import		
IAO:0000178	material information bearer	import		
IAO:0000179	histogram	import		
IAO:0000180	heatmap	import		
IAO:0000183	dendrogram	import		
IAO:0000184	scatter plot	import		
IAO:0000219	denotes	relate		
IAO:0000221	is quality measurement of	relate		
IAO:0000235	denoted by	relate		
IAO:0000300	textual entity	import		
IAO:0000306	table	import		
IAO:0000310	document	import		
IAO:0000311	publication	import		
IAO:0000312	publication about an investigation	import		
IAO:0000401	one dimensional cartesian spatial coordinate datum	import		
IAO:0000407	has coordinate unit label	relate		
IAO:0000408	length measurement datum	import		
IAO:0000413	is duration of	relate		
IAO:0000414	mass measurement datum	import		
IAO:0000416	time measurement datum	import		
IAO:0000422	postal address	import		
IAO:0000429	email address	import		
IAO:0000572	documenting	import		
IAO:0000573	line graph	import		
IAO:0000574	assigning a centrally registered identifier	import		
IAO:0000577	centrally registered identifier symbol	import		
IAO:0000579	centrally registered identifier registry	import		
IAO:0000594	software application	import		
OBI:0000011	planned process	import		
