id	rdfs label	editor preferred term	has curation status	alternative label	definition	definition source	example of usage	term editor	editor note	curator note	ontology term requester	term tracker item	logical type	parent	output
ID	A rdfs:label	A editor preferred term	AI has curation status	A alternative label SPLIT=|	AL definition@en SPLIT=|	A definition source SPLIT=|	A example of usage SPLIT=|	A term editor SPLIT=|	A editor note SPLIT=|	A curator note SPLIT=|	A ontology term requester SPLIT=|	A term tracker item SPLIT=|	CLASS_TYPE	C %	C 'has specified output' some %
OBI:0003616	antibody purification of MHC class I protein complex				An antibody purification of MHC protein complex to separate a material entity into different compositions of which one fraction contains a higher concentration of MHC class I protein complex, while others contain impurities and are not of interest.	Randi Vita		Randi Vita|Sebastian Duesing					equivalent	antibody purification of MHC protein complex	MHC class I protein complex
OBI:0003617	antibody purification of human MHC class I protein complex				An antibody purification of MHC class I protein complex to separate a material entity into different compositions of which one fraction contains a higher concentration of human MHC class I protein complex, while others contain impurities and are not of interest.	Randi Vita		Randi Vita|Sebastian Duesing					equivalent	antibody purification of MHC class I protein complex	human MHC class I protein complex
OBI:0003618	antibody purification of HLA protein complex with A2 serotype				An antibody purification of human MHC class I protein complex to separate a material entity into different compositions of which one fraction contains a higher concentration of HLA protein complex with A2 serotype, while others contain impurities and are not of interest.	Randi Vita		Randi Vita|Sebastian Duesing					equivalent	antibody purification of human MHC class I protein complex	HLA protein complex with A2 serotype
OBI:0003619	antibody purification of HLA protein complex with A24 serotype				An antibody purification of human MHC class I protein complex to separate a material entity into different compositions of which one fraction contains a higher concentration of HLA protein complex with A24 serotype, while others contain impurities and are not of interest.	Randi Vita		Randi Vita|Sebastian Duesing					equivalent	antibody purification of human MHC class I protein complex	HLA protein complex with A24 serotype
OBI:0003620	antibody purification of HLA protein complex with A2 serotype and/or HLA protein complex with A28 serotype				An antibody purification of human MHC class I protein complex to separate a material entity into different compositions of which one fraction contains a higher concentration of HLA protein complex with A2 serotype and/or HLA protein complex with A28 serotype, while others contain impurities and are not of interest.	Randi Vita		Randi Vita|Sebastian Duesing					equivalent	antibody purification of human MHC class I protein complex	('HLA protein complex with A2 serotype' or 'HLA protein complex with A28 serotype')
OBI:0003621	antibody purification of HLA protein complex with A29 serotype				An antibody purification of human MHC class I protein complex to separate a material entity into different compositions of which one fraction contains a higher concentration of HLA protein complex with A29 serotype, while others contain impurities and are not of interest.	Randi Vita		Randi Vita|Sebastian Duesing					equivalent	antibody purification of human MHC class I protein complex	HLA protein complex with A29 serotype
OBI:0003622	antibody purification of HLA protein complex with B27 serotype				An antibody purification of human MHC class I protein complex to separate a material entity into different compositions of which one fraction contains a higher concentration of HLA protein complex with B27 serotype, while others contain impurities and are not of interest.	Randi Vita		Randi Vita|Sebastian Duesing					equivalent	antibody purification of human MHC class I protein complex	HLA protein complex with B27 serotype
OBI:0003623	antibody purification of HLA-C protein complex				An antibody purification of human MHC class I protein complex to separate a material entity into different compositions of which one fraction contains a higher concentration of HLA-C protein complex, while others contain impurities and are not of interest.	Randi Vita		Randi Vita|Sebastian Duesing					equivalent	antibody purification of human MHC class I protein complex	HLA-C protein complex
OBI:0003624	antibody purification of pig MHC class I protein complex				An antibody purification of MHC class I protein complex to separate a material entity into different compositions of which one fraction contains a higher concentration of pig MHC class I protein complex, while others contain impurities and are not of interest.	Randi Vita		Randi Vita|Sebastian Duesing					equivalent	antibody purification of MHC class I protein complex	pig MHC class I protein complex
