ontology ID	label	editor preferred term	has curation status	alternative term	definition	definition source	example of usage	term editor	editor note	curator note	ontology term requester	term tracker item	logical type	logical note	parent class	material processing technique	detection technique	evaluant	measurand	analyte	device	reagent	molecular label	input	output	target entity	target context	objective	associated axioms
ID	A rdfs:label	A editor preferred term	AI has curation status	A alternative term SPLIT=|	A definition SPLIT=|	A definition source SPLIT=|	A example of usage SPLIT=|	A term editor SPLIT=|	A editor note SPLIT=|	A curator note SPLIT=|	A ontology term requester	A term tracker item	CLASS_TYPE		C %	C 'has part' some % SPLIT=|	C 'has part' some ( % and 'detection technique') SPLIT=|	C (has_specified_input some (% and 'has role' some 'evaluant role')) and (realizes some ('evaluant role' and ('role of' some %))) SPLIT=|	C (has_specified_input some %) and (realizes some ('measurand role' and ('inheres in' some %)))	C (has_specified_input some %) and (realizes some ('analyte role' and ('inheres in' some %)))	C (has_specified_input some %) and (realizes some (function and ('inheres in' some %))) SPLIT=|	C (has_specified_input some %) and (realizes some ('reagent role' and ('inheres in' some %)))	C (has_specified_input some %) and (realizes some ('molecular label role' and ('inheres in' some %)))	C has_specified_input some %	C has_specified_output some %	C has_specified_output some ('is about' some %)	C has_specified_output some ('is about' some ( 'has assay target context' some %))	C achieves_planned_objective some %	C %
CHMO:0000087	fluorescence microscopy assay			fluorescence imaging|fluorescence microscopic imaging|FM	Any type of light microscopy assay where the specimen can be made to fluoresce (emit energy as visible light) by illuminating it with light of specific wavelengths. These specimens are called fluorophores.	CHMO							subclass		light microscopy assay									('material entity' and ('bearer of' some fluorescence))					
CHMO:0000089	confocal fluorescence microscopy assay			CLSM|confocal fluorescence imaging|confocal laser scanning fluorescence microscopy|confocal laser scanning microscopy|confocal-laser scanning microscopy|fluorescence confocal microscopy|fluorescence confocal scanning laser microscopy|LSCM|scanning confocal fluorescence microscopy	Microscopy where the specimen can be made to fluoresce (emit energy as visible light) by scanning a gas (Ar or Kr) laser spot of specific wavelength over its surface and using a spatial pinhole to eliminate out-of-focus fluorescence.	CHMO							subclass		microscopy assay														
CHMO:0000102	light microscopy assay			light microscopy|OM|optical microscopy	Microscopy where the specimen is illuminated with visible light and a system of lenses is used to produce an image.	CHMO							subclass		microscopy assay														
OBI:0000117	Bernoulli trial		pending final vetting		An assay where the output data is a datum with one of two values denoting success and failure.	OBI branch derived		PlanAndPlannedProcess Branch					subclass		assay														
OBI:0000182	NMR 3D molecular structure determination assay				A 3D molecular structure determination assay that uses magnetic properties of atomic nuclei to determine the 3D structure and dynamics of molecules in the input sample.	IEDB	Determining the binding of epitope-specific nanobody cAb-HuL5 to wild type human lysozyme by chemical shift perturbations in NMR spectra (Erwin De Genst, J Phys Chem B 2013).	PlanAndPlannedProcess Branch|IEDB					equivalent		3D molecular structure determination assay						NMR instrument				3D structural organization datum				
OBI:0000185	imaging assay		pending final vetting		An assay that produces a picture of an entity.	OBI branch derived		PlanAndPlannedProcess Branch					subclass		assay										image				
OBI:0000201	radioactivity detection				An assay that measures the amount of radiation in the radioactive spectrum (alpha, beta or gamma rays) emitted from an input material.	IEDB	Placing the evaluant input material close to a scintillation counter which emits light upon being hit with alpha/beta/gamma radiation and counting the frequency of light blasts to determine the radioactivity of the input material.	PlanAndPlannedProcess Branch|IEDB					equivalent		assay									('material entity' and ('bearer of' some radioactive))		('material entity' and ('bearer of' some radioactive))			
OBI:0000288	protein-protein interaction detection assay		metadata incomplete		An assay that determines interactions between proteins, such as protein-protein binding.								subclass		assay														
OBI:0000291	transcription factor binding site assay		metadata complete	TF binding	An assay tthat determines DNA regions specifically recognized by proteins that function as transcription factors	OBI	Transcription factor binding site identification in yeast: a comparison of high-density oligonucleotide and PCR-based microarray platforms.	Philippe Rocca-Serra				https://sourceforge.net/p/obi/obi-terms/767/	subclass		binding assay										information content entity	TF_binding_site			
OBI:0000366	metabolite profiling assay		metadata complete	metabolite assay|metabolomic assay	An assay that detects and identifies chemical entities resulting from biochemical and cellular metabolism	OBI	Metabolite profiling of human colon carcinoma - deregulation of TCA cycle and amino acid turnover. Mol Cancer. 2008 Sep 18;7(1):72. PMID: 18799019	Philippe Rocca-Serra					subclass		assay									specimen					
OBI:0000418	measuring glucose concentration in blood serum assay		metadata incomplete		An assay that determines the concentration of glucose molecules in a blood serum sample	OBI	Measuring glucose concentration in blood from a mouse. See Figure 2 of the 2016 OBI paper, PMID: 27128319.	Bjoern Peters					subclass		analyte assay			blood serum specimen		glucose									
OBI:0000424	transcription profiling assay		metadata complete	gene expression profiling|transcription profiling	An assay that determines gene expression and transcription activity using ribonucleic acids collected from a material entity.	OBI	Whole genome transcription profiling of Anaplasma phagocytophilum in human and tick host cells by tiling array analysis. BMC Genomics. 2008 Jul 31;9:364. PMID: 18671858	Philippe Rocca-Serra	This term should encompass transcription and post-transcription, but before translation into protein. So 'gene expression' itself is too broad, and we use 'transcription profiling identification objective' to constrain the scope of this term.				equivalent		assay			RNA extract		ribonucleic acid				(specimen and ('has part' some 'ribonucleic acid'))	measurement datum	gene expression		transcription profiling identification objective	
OBI:0000433	DNA sequence feature detection assay		metadata incomplete		An assay with the objective to determine a sequence feature of DNA	OBI	genotyping using an Affymetrix chip	Philippe Rocca-Serra|Bjoern Peters					subclass		assay			DNA extract										sequence feature identification objective	
OBI:0000435	genotyping assay		metadata complete	genotype profiling|SNP analysis	An assay which generates data about a genotype from a specimen of genomic DNA. A variety of techniques and instruments can be used to produce information about sequence variation at particular genomic positions.	OBI Biomaterial	High-throughput genotyping of oncogenic human papilloma viruses with MALDI-TOF mass spectrometry. Clin Chem. 2008 Jan;54(1):86-92. Epub 2007 Nov 2.PMID: 17981923	Philippe Rocca-Serra					subclass		analyte assay			DNA extract						(specimen and ('has part' some 'deoxyribonucleic acid'))	genotype information			sequence feature identification objective	
OBI:0000438	DNA sequence variation detection assay		ready for release		An assay that measures changes (expansion, amplification, deletion, mutation) in the sequence of a DNA molecule.	OBI Biomaterial	Capturing genomic signatures of DNA sequence variation using a standard anonymous microarray platform. Nucleic Acids Res. 2006;34(18):e121. PMID: 17000641	Philippe Rocca-Serra					subclass		assay									DNA extract	measurement datum			sequence feature identification objective	
OBI:0000443	analyte assay		ready for release		An assay with the objective to capture information about the presence, concentration, or amount of an analyte in an evaluant.	Bjoern Peters|Helen Parkinson|Philippe Rocca-Serra|Alan Ruttenberg|OBI Planned process branch	example of usage: In lab test for blood glucose, the test is the assay, the blood bears evaluant_role and glucose bears the analyte role. The evaluant is considered an input to the assay and the information entity that records the measurement of glucose concentration the output	Bjoern Peters|Helen Parkinson|Philippe Rocca-Serra|Alan Ruttenberg					subclass		assay										measurement datum			analyte measurement objective	
OBI:0000445	mass measurement assay		metadata complete		An assay that determines the mass of an evaluant	OBI	The patients was weighed and mass was determined to be 47 kilograms	Helen Parkinson					subclass		assay			material entity							mass measurement datum				
OBI:0000447	intracellular electrophysiology recording assay		metadata incomplete		An electrophysiology assay where the recording location of the electrode is intracellular.	Frank Gibson		Frank Gibson					subclass		electrophysiology assay										mass measurement datum	ion channel activity			
OBI:0000454	extracellular electrophysiology recording assay		metadata complete		An electrophysiology assay where the recording location of the electrode is extracellular.	Frank Gibson	The recording of a spike train in the caudate nucleus of a monkey where the electrodes are extra cellular, i.e. not in the neuron	Frank Gibson|Helen Parkinson					subclass		electrophysiology assay										mass measurement datum	ion channel activity			
OBI:0000470	mass spectrometry assay				An assay that identifies the amount and type of material entities present in a sample by fragmenting the sample and measuring the mass-to-charge ratio of the resulting particles.	Philippe Rocca-Serra	Identification of a proteins cut out from a 2D gel by cleaving it into peptides using trypsin digestion using electrospray ionizatino to ensure the peptides are charged, and accelerating them with an electro magnetic field in which the flight path is determined by the mass / charge ratio of the peptides. Comparing the mass/charge ratio of peptides in the proteins with databases of protein sequences allows to identify which protein gave rise to the peptides.	Philippe Rocca-Serra					equivalent		assay						mass spectrometer								
OBI:0000520	clinical chemistry assay		metadata complete	detection of analyte in blood sample|chemical pathology	An analyte assay which uses analytical methods to produce measurements and data on the concentration of chemical parameters (analytes) present in a bodily fluid collected from an organism.	url:https://en.wikipedia.org/wiki/Clinical_chemistry	Influence of hydroxyethyl starch (6% HES 130/0.4) administration on hematology and clinical chemistry parameters.	Philippe Rocca-Serra					subclass		analyte assay			bodily fluid specimen		scattered molecular aggregate									
OBI:0000537	copy number variation profiling assay		metadata complete	CNV analysis	An assay that determines lost or amplified genomic regions of DNA by comparing genomic DNA originating from tissues from the same or different individuals using specific techniques such as CGH, array CGH, SNP genotyping		Profiling of copy number variations (CNVs) in healthy individuals from three ethnic groups using a human genome 32 K BAC-clone-based array. PMID:18058796	Philippe Rocca-Serra					subclass		assay										measurement datum	genetic characteristics information			
OBI:0000615	protein expression profiling assay		metadata complete	proteomic analysis	An assay that determines protein expression and translation activity using protein extracts collected from a material entity.	OBI branch derived	Protein Expression Profiling During Chick Retinal Maturation: A Proteomics-based approach. PMID:19077203	Phlippe Rocca-Serra					subclass		assay			(specimen and ('has part' some protein))											
OBI:0000623	NMR spectroscopy assay		metadata incomplete	Nuclear magnetic resonance spectroscopy	An assay that exploits the magnetic properties of certain nuclei (those with a spin) to resonate when placed in particular magnetic field conditions. Instruments recording NMR spectrum and sets of analysis can be used to deduce identity of chemical as well as composition of complex chemical mixtures.	url:https://en.wikipedia.org/wiki/Nuclear_magnetic_resonance_spectroscopy	Metabolic profiling studies on the toxicological effects of realgar in rats by (1)H NMR spectroscopy. Wei L, Liao P, Wu H, Li X, Pei F, Li W, Wu Y. Toxicol Appl Pharmacol. 2008 Nov 25. PMID: 19073202	Philippe Rocca-Serra					subclass		assay														
OBI:0000626	DNA sequencing assay		metadata incomplete	nucleotide sequencing	A sequencing assay which determines information on the sequence of a DNA molecule.	url:https://en.wikipedia.org/wiki/DNA_sequencing	Illumina (Solexa) sequencing is an example of DNA sequencing	Philippe Rocca-Serra					equivalent		sequencing assay			DNA extract			DNA sequencer				DNA sequence data	primary structure of DNA macromolecule			
OBI:0000630	hematology assay		metadata incomplete	blood analysis|haematology	An assay that studies blood and blood producing organs using a variety of techniques and instruments	OBI branch derived	Co-associations between insulin sensitivity and measures of liver function, subclinical inflammation, and hematology._PMID:18702943	Philippe Rocca-Serra					subclass		assay										('information content entity' and ('is about' some hemopoiesis))				
