ontology ID	label	editor preferred term	has curation status	alternative label	definition	definition source	example of usage	term editor	editor note	curator note	ontology term requester	term tracker item	logical type	parent class	material anatomical entity	input device	output entity
ID	LABEL	A editor preferred term	AI has curation status	A alternative label SPLIT=|	AL definition@en	A definition source SPLIT=|	A example of usage SPLIT=|	A term editor SPLIT=|	A editor note SPLIT=|	A curator note SPLIT=|	A ontology term requester	A term tracker item	CLASS_TYPE	CI	C 'has specified input' some %	C 'has specified input' some %	C 'has specified output' some %
OBI:0002650	biopsy		ready for release		A specimen collection that obtains a sample of tissue or cell from a living multicellular organism body for diagnostic purposes by means intended to be minimally invasive.	https://en.wikipedia.org/wiki/Biopsy	Biopsy of a potentially cancerous mole.	Nicole Vasilevsky|Damion Dooley					subclass	collecting specimen from organism	material anatomical entity	device	pre-mortem specimen
OBI:0002651	image guided biopsy		ready for release	image-guided biopsy|imaging guided biopsy|image guided needle biopsy	A biopsy which uses an imaging procedure to guide a needle biopsy.	https://www.mayoclinic.org/diseases-conditions/cancer/in-depth/biopsy/art-20043922	Image-guided needle biopsy allows a doctor to biopsy suspicious areas that aren't readily seen or felt through skin, such as in a prostate gland.	Damion Dooley					subclass	needle biopsy			
OBI:0002652	computed tomography assisted biopsy		ready for release	Computed Tomography Assisted Biopsy|CT Guided Biopsy|CT Assisted Biopsy|Computed Tomography-Guided Needle Biopsy	A needle biopsy guided by real-time computed tomography (CT) scan images.	http://purl.obolibrary.org/obo/NCIT_C137909	A CT Guided Biopsy is a procedure performed by a radiologist to obtain a small tissue sample through a needle.	Damion Dooley					subclass	image guided biopsy		computed tomography scanner	
OBI:0002653	ultrasound-guided needle biopsy		ready for release		A needle biopsy guided by ultrasound visualization.	https://www.oncolink.org/cancer-treatment/procedures-diagnostic-tests/biopsy-procedures/ultrasound-guided-needle-biopsy	An ultrasound-guided needle biopsy uses sound waves to help locate a nodule or abnormality within the thyroid.	Damion Dooley					subclass	image guided biopsy			
OBI:0002654	needle biopsy		ready for release		A biopsy that uses a hollow needle to extract cells.	https://www.mayoclinic.org/tests-procedures/needle-biopsy/about/pac-20394749	A needle biopsy is often used on suspicious breast lumps and enlarged lymph nodes that a doctor can feel through a patient's skin.	Damion Dooley					subclass	biopsy		needle	
OBI:0002655	fine needle aspiration biopsy		ready for release	FNA|FNAB	A biopsy that uses a thin needle to extract cells.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5769667/	A fine needle aspiration biopsy is commonly performed in order to test for cancer.	Chris Stoeckert, Helena Ellis, Jie Zheng			NCI BBRB		subclass	needle biopsy			
OBI:0002656	core needle biopsy		ready for release	CNB	A biopsy that uses a hollow tube to collect a core of tissue.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5769667/	A core needle biopsy can remove more tissue than a fine needle biopsy, and therefore can provide more information about the cells and tissue removed.	Chris Stoeckert, Helena Ellis, Jie Zheng			NCI BBRB		subclass	needle biopsy			
OBI:0002657	surgical biopsy		ready for release	open biopsy|excisional biopsy	A biopsy involving a surgical incision into an organism to access the biopsy material.	https://www.mayoclinic.org/diseases-conditions/cancer/in-depth/biopsy/art-20043922	Surgical biopsy may be required to collect hard-to-reach tissue.	Damion Dooley					subclass	biopsy			
OBI:0002660	abdominal wall fat pad biopsy		ready for release	abdominal wall biopsy|fat biopsy	A biopsy involving the collection of a small part of the abdominal wall fat pad.	https://www.ucsfbenioffchildrens.org/tests/003841.html	The makeup of fat in the abdominal wall can be investigated by fat biopsy.	Nicole Vasilevsky, Damion Dooley					subclass	biopsy	omental fat pad		
OBI:0002661	tail biopsy		ready for release	snip	A biopsy involving the collection of the tip of a mamallian tail.	http://web.jhu.edu/animalcare/policies/Tail%20Biopsy%20of%20Mice.pdf	A mouse tail biopsy was performed to collect material for DNA extraction.	Nicole Vasilevsky, Damion Dooley					subclass	biopsy	tail		
OBI:0002662	bone marrow biopsy		ready for release		A biopsy where a small amount of bone and a small amount of fluid and bone marrow are collected.	http://www.webmd.com/cancer/bone-marrow-aspiration-and-biopsy	A bone marrow biopsy removes bone with the marrow inside to look at under a microscope	Nicole Vasilevsky					subclass	biopsy	bone marrow		
OBI:0002663	skinpunch biopsy		ready for release	punch biopsy; skin biopsy	A biopsy that involves the collection of a cylinder of skin (including epidermis, dermis and superficial fat) using a punch tool.	http://healthlibrary.epnet.com/GetContent.aspx?token=b93d114e-5009-4f6a-9917-6c594254fcc7&chunkiid=14861	A three or four millimeter punch is used in s skinpunch biopsy proceedure.	Nicole Vasilevsky					subclass	biopsy	integument		
OBI:0002745	vacuum-assisted biopsy		ready for release	VAB	A biopsy performed with a needle augmented with a vacuum device.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5769667/	A vacuum assisted biopsy can remove an area of abnormal cells from breast tissue.	Damion Dooley					subclass	needle biopsy		OBI:0002679	
