ontology ID	label	editor preferred term	has curation status	alternative label	definition	definition source	example of usage	term editor	editor note	curator note	ontology term requester	term tracker item	logical type	parent class	function	has part	part of	manufactured by	associated axioms
ID	LABEL	A editor preferred term	AI has curation status	A alternative label SPLIT=|	AL definition@en	A definition source SPLIT=|	A example of usage SPLIT=|	A term editor SPLIT=|	A editor note SPLIT=|	A curator note SPLIT=|	A ontology term requester	A term tracker item	CLASS_TYPE	C %	C 'has function' some % SPLIT=|	C 'has part' some % SPLIT=|	C 'part of' some %	C is_manufactured_by value %	C % SPLIT=|
OBI:0000038	chromatography column	chromatography column	metadata incomplete		Chromatography column in chemistry is a tube and contents (typically glass) used to purify individual chemical compounds from mixtures of compounds. It is often used for preparative applications on scales from micrograms up to kilograms.	http://en.wikipedia.org/wiki/Column_chromatography		Frank Gibson		open tracker https://sourceforge.net/tracker/index.php?func=detail&aid=2881353&group_id=177891&atid=886178				device	('material separation function' and ('realized in' only 'preparative chromatography'))	container			
OBI:0000041	pump valve switch	pump valve switch	metadata incomplete		A pump valve switch is a cardinal part of a liquid chromatography instrument that controls the flow.	OBI		OBI Instrument branch	FG:I would assume this should be a pump valve control switch and it would not be specific to a liquid chromatography instrument					device	mechanical function				
OBI:0000048	chromatography device	chromatography device	metadata complete	chromatography instrument	A device that facilitates the separation of mixtures. The function of a chromatography device involves passing a mixture dissolved in a ""mobile phase"" through a stationary phase, which separates the analyte to be measured from other molecules in the mixture and allows it to be isolated.	http://en.wikipedia.org/wiki/Chromatography		Frank Gibson		open tracker https://sourceforge.net/tracker/index.php?func=detail&aid=2881353&group_id=177891&atid=886178				device	contain function|environment control function|measure function|material separation function				
OBI:0000049	mass spectrometer	mass spectrometer	ready for release		A mass spectrometer is an instrument which is used to measure the mass to charge ratio of ions. All mass spectrometers consist of three basic parts: an ion source, a mass analyzer, and a detector system. The stages within the mass spectrometer are: 1. Production of ions from the sample 2. Separation of ions with different masses 3. Detection of the number of ions of each mass produced 4.Collection of data to generate the mass spectrum	http://en.wikipedia.org/wiki/Mass_spectrometry	LCQ Fleet Ion Trap MSn manufactured by thermo fisher scientific	Frank Gibson						device	measure function	mass analyzer|ion source|ion detector			
OBI:0000051	liquid chromatography mass spectrometry platform	liquid chromatography mass spectrometry platform	metadata incomplete		A liquid chromatography mass spectrometry platform is a platform that is the collection of instrument, software and reagents needed to perform a liquid chromatography mass spectrometry protocol. definition_source: OBI.	OBI Instrument branch		OBI instrument branch						device	measure function|material separation function	chromatography device|mass spectrometer			
OBI:0000052	microarray platform	microarray platform	metadata incomplete		A microarray platform is a platform that contains the instruments, software and reagents needed to perform a microarray protocol. definition_source: OBI.	OBI Instrument branch		OBI Instrument branch						device	environment control function	microarray			
OBI:0000059	gamma counter	gamma counter	ready for release		A processed material which measures gamma radiation	http://en.wikipedia.org/wiki/Gamma_counter	A Geiger counter	Frank Gibson						device	measure function				
OBI:0000084	polystyrene tube	polystyrene tube	ready for release		A polystyrene tube is a test tube made of polystyrene	PERSON: Chris Stoeckert	Polystyrene tubes can be used  to contain tissue culture cells during centrifgation	PERSON: Chris Stoeckert						test tube					
OBI:0000136	incubator	incubator	metadata complete		A device in which environmental conditions (light, photoperiod, temperature, humidity, etc.) can be controlled	http://www.medterms.com/script/main/art.asp?articlekey=18426	Incubators are used in microbiology for culturing (growing) bacteria and other microorganisms. Incubators in tissue culture rooms are used for culturing stem cells, lymphocytes, skin fibroblasts and other types of cells	Frank Gibson						device	environment control function				
