Ontology ID	label	editor preferred term	has curation status	alternative label	IEDB alternative term	definition	definition source	example of usage	term editor	editor note	curator note	ontology term requester	term tracker item	logical type	parent class	material processing technique	detection technique	reagent	input	output	MHC source	target entity	target context	unit
ID	A rdfs:label	A editor preferred term	AI has curation status	A alternative label SPLIT=|	A IEDB alternative term	AL definition@en	A definition source SPLIT=|	A example of usage SPLIT=|	A term editor SPLIT=|	A editor note SPLIT=|	A curator note SPLIT=|	A ontology term requester	A term tracker item	CLASS_TYPE	C %	C 'has part' some % SPLIT=|	C 'has part' some ( % and 'detection technique') SPLIT=|	C ('has specified input' some %) and (realizes some ('reagent role' and ('characteristic of' some %)))	C 'has specified input' some %	C 'has specified output' some %	C 'has specified input' some (% and ('has part' some 'MHC protein complex'))	C 'has specified output' some ('is about' some %)	C 'has specified output' some ('is about' some ( 'has assay target context' some %))	C 'has specified output' some ('has measurement unit label' value %)
OBI:0001194	ELISPOT assay measuring epitope specific transforming growth factor-beta production by T cells				TGFb release|ELISPOT	An enzyme-linked immunospot assay that detects transforming growth factor-beta production by T cells.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	enzyme-linked immunospot assay							('transforming growth factor beta production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001196	cytometric bead array assay measuring epitope specific IP-10 production by T cells				CXCL10/IP-10 release|cytometric bead array	A cytometric bead array assay that detects IP-10 production by T cells.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	antigen detection by cytometric bead array assay							('IP-10 production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001198	assay measuring epitope specific interleukin-27 production by T cells				IL-27 release|biological activity	A T cell epitope specific cytokine production assay that detects interleukin-27 production by T cells.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	assay							('interleukin-27 production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001203	detection of specific nucleic acids with complementary probes assay measuring epitope specific transforming growth factor-beta production by T cells				TGFb release|RNA/DNA detection	A detection of specific nucleic acid polymers with complementary probes that detects transforming growth factor-beta production by T cells.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	detection of specific nucleic acid polymers with complementary probes							('transforming growth factor beta production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001206	ELISPOT assay measuring epitope specific granulocyte macrophage colony-stimulating factor production by T cells				GM-CSF release|ELISPOT	An enzyme-linked immunospot assay that detects granulocyte macrophage colony stimulating factor production by T cells.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	enzyme-linked immunospot assay							('granulocyte macrophage colony-stimulating factor production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001209	assay measuring epitope specific interleukin-10 production by T cells				IL-10 release|biological activity	A T cell epitope specific cytokine production assay that detects interleukin-10 production by T cells.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	assay							('interleukin-10 production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001210	cytometric bead array assay measuring epitope specific transforming growth factor-beta production by T cells				TGFb release|cytometric bead array	A cytometric bead array assay that detects transforming growth factor-beta production by T cells	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	antigen detection by cytometric bead array assay							 ('transforming growth factor beta production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001215	intracellular material detection assay measuring epitope specific perforin release				perforin release|intracellular staining	A flow cytometry assay that detects epitope specific perforin release by T cells.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	flow cytometry assay							('perforin release during T cell degranulation' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001216	cell culture analyte detection bioassay measuring epitope specific interleukin-2 production by T cells				IL-2 release|bioassay	A reporter cell line analyte detection bioassay that detects interleukin-2 production by T cells.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	reporter cell line analyte detection bioassay							('interleukin-2 production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
