ontology ID	label	editor preferred term	has curation status	alternative label	ISA alternative term	definition	definition source	example of usage	term editor	editor note	curator note	ontology term requester	term tracker item	logical type	parent class	study design	has part	conclusion topic	participant under investigation	axiom
ID	AL rdfs:label@en	AL editor preferred term@en	AI has curation status	A alternative label SPLIT=|	A ISA alternative term SPLIT=|	AL definition@en	AL definition source@en SPLIT=|	AL example of usage@en SPLIT=|	AL term editor@en SPLIT=|	AL editor note@en SPLIT=|	AL curator note@en SPLIT=|	A ontology term requester	A term tracker item	CLASS_TYPE	C %	C 'has study design' some % SPLIT=|	C 'has part' some % SPLIT=|	C 'has specified output' some ('conclusion based on data' and ('is about' some %)) SPLIT=|	C 'has participant' some (% and ('has role' some 'participant under investigation role'))	C %
OBI:0000066	investigation	investigation	ready for release		study	a planned process that consists of parts: planning, study design execution, documentation and which produce conclusion(s).	OBI branch derived	Lung cancer investigation using expression profiling, a stem cell transplant investigation, biobanking is not an investigation, though it may be part of an investigation	Bjoern Peters		Could add specific objective specification|Following OBI call November 2012,26th: it was decided there was no need for adding achieves objective of drawing conclusion as existing relations were providing equivalent ability. this note closes the issue and validates the class definition to be part of the OBI core editor = PRS			subclass	planned process		documenting|drawing a conclusion based on data|study design execution|('planning' and 'has specified output' some 'study design')			
OBI:0000355	hypothesis-driven investigation	hypothesis-driven investigation	pending final vetting			is an investigation with the goal to test one or more hypothesis	OBI branch derived		PlanAndPlannedProcess Branch					subclass	investigation					
OBI:0000356	hypothesis generating investigation	hypothesis generating investigation	pending final vetting			is an investigation in which data is generated and analyzed with the purpose of generating new hypothesis	OBI branch derived		PlanAndPlannedProcess Branch					subclass	investigation					
OBI:0002897	surveillance process	surveillance process	metadata complete			An investigation in which some entity is monitored, and data concerning that entity collected, interpreted, and disseminated, for the purpose of managing, directing, or protecting that entity, or some other entity.	Shane Babcock, OBI		Chris Stoeckert			IDO, VEuPathDB	https://github.com/obi-ontology/obi/issues/1181	subclass	investigation					
OBI:0003692	case-control investigation	case-control investigation				An investigation that has participants that bear either a case or control role and which examines the hypothesis that the presence of the outcome in case participants is associated with an exposure that is not associated with control participants.	OBI:0002624		Sebastian Duesing			IAKC		equivalent	investigation	case-control study design				
OBI:0003693	observational investigation	observational investigation				An investigation in which subjects are monitored in the absence of any active intervention by experimentalists.	OBI:0300311		Sebastian Duesing			IAKC		equivalent	investigation	observation design				
OBI:0003694	longitudinal investigation	longitudinal investigation				An investigation that involves repeated observations of the same variables (e.g., people) over long periods of time.	https://en.wikipedia.org/wiki/Longitudinal_study		Sebastian Duesing			IAKC		subclass	investigation					
OBI:0003695	nested case-control investigation	nested case-control investigation				A case–control investigation in which cases and controls are drawn from the population in a fully enumerated cohort.	https://en.wikipedia.org/wiki/Nested_case–control_study		Sebastian Duesing			IAKC		subclass	case-control investigation					
OBI:0003696	animal investigation	animal investigation				An investigation that has non-human animals as its subjects.			Sebastian Duesing			IAKC		subclass	investigation					
OBI:0003697	clinical investigation	clinical investigation				An investigation on human subjects with the objective to produce information on human health.			Sebastian Duesing			Charlie Hoyt	https://github.com/obi-ontology/obi/issues/1831	subclass	investigation				Homo sapiens	
OBI:0003698	observational clinical investigation	observational clinical investigation				A clinical investigation that does not involve an intervention.			Sebastian Duesing			Charlie Hoyt	https://github.com/obi-ontology/obi/issues/1831	equivalent	clinical investigation	observation design				
OBI:0003699	clinical trial	clinical trial				A clinical investigation that involves an intervention.			Sebastian Duesing			Charlie Hoyt	https://github.com/obi-ontology/obi/issues/1831	subclass	clinical investigation	intervention design	study intervention			
OBI:0003700	phase I clinical trial	phase I clinical trial				A clinical trial that produces information about the safety of a drug and the adverse events associated with that drug, and which is typically conducted with healthy participants.	https://clinicaltrials.gov/study-basics/glossary#phase-1		Sebastian Duesing			Charlie Hoyt	https://github.com/obi-ontology/obi/issues/1831	subclass	clinical trial			('molecular entity' and 'has characteristic' some 'drug role')		
OBI:0003701	phase II clinical trial	phase II clinical trial				A clinical trial that produces information about a drug's effectiveness and short-term adverse events associated with the drug.	https://clinicaltrials.gov/study-basics/glossary#phase-2		Sebastian Duesing			IAKC		subclass	clinical trial			('molecular entity' and 'has characteristic' some 'drug role')		
OBI:0003702	phase III clinical trial	phase III clinical trial				A clinical trial that produces information about a drug's safety and effectiveness in different populations, with different dosages, and in combination with other drugs.	https://clinicaltrials.gov/study-basics/glossary#phase-3		Sebastian Duesing			Charlie Hoyt	https://github.com/obi-ontology/obi/issues/1831	subclass	clinical trial			('molecular entity' and 'has characteristic' some 'drug role')		
