Ontology ID	label	definition	term editor	definition Source	alternative term	logical type	parent class	planned objective	Input	output	material processing	device	associated axioms
ID	A rdfs:label	A definition	A term editor	A definition source SPLIT=|	A alternative term SPLIT=|	CLASS_TYPE	C % SPLIT=|	C achieves_planned_objective some % SPLIT=|	C has_specified_input some % SPLIT=|	C has_specified_output some %	C 'has part' some %	C (has_specified_input some %) and (realizes some (function and ('inheres in' some %))) SPLIT=|	C % SPLIT=|
OBI:0000094	material processing	A planned process which results in physical changes in a specified input material			material transformation	equivalent		material transformation objective	material entity	processed material			
OBI:0000105	transplantation	A protocol application to replace an organ or tissue of an organism				subclass	material processing	material transformation objective					
OBI:0000043	xenotransplantation	Is the transplantation of living cells, tissues or \norgans from one species to another such as from pigs to humans				subclass	transplantation						
OBI:0000057	allotransplantation	Is the transplantation of organs between members of the same species.				subclass	transplantation						
OBI:0000171	autotransplantation	Is the transplantation of tissue from one part of \nthe body to another in the same individual. )				subclass	transplantation						
OBI:0000073	sample preparation for assay	A sample_preparation_for_assay is a protocol_application including material_enrollments and biomaterial_transformations. definition_source: OBI.			study	subclass	material processing	material transformation objective					
OBI:0001902	sample preparation for sequencing assay	A sample preparation for assay that preparation of nucleic acids for a sequencing assay				equivalent	sample preparation for assay		(specimen and ('has grain' some 'nucleic acid'))	(specimen and (is_specified_input_of some 'sequencing assay'))			
OBI:0000153	cell co-culturing	A material combination in which cell cultures of two or more different types are are combined and allowed to culture as one.				subclass	material processing	material transformation objective	culture medium	cultured cell population			((has_specified_input some cell) and (has_specified_input min 2 owl:Thing))
OBI:0000231	enzymatic cleavage	A material processing that digests the fraction of input material that is susceptible to that enzyme				subclass	material processing		specimen				(realizes some (function and ('inheres in' some enzyme)))
OBI:0600023	non specific enzymatic cleavage	An enzymatic cleavage that uses an enzyme without a strong affinity for specific cleavage sites in the input material				subclass	enzymatic cleavage						
OBI:0600050	specific enzymatic cleavage	An enzymatic cleavage that uses an enzyme with a strong affinity for specific cleavage sites in the input material				subclass	enzymatic cleavage						
OBI:0600055	DNA restriction enzyme digestion	A specific enzymatic cleavage of DNA molecules using endonucleases that cleave DNA molecules at specific sites based on the surrounding nucleotide sequence			restriction enzyme assay	subclass	specific enzymatic cleavage		ribonucleic acid				
OBI:0600056	protease cleavage	Protease cleavage is an enzymatic cleavage which relies on enzyme with protease activity to act on proteins and produce polypeptides (protein fragments).				subclass	enzymatic cleavage		(protein and ('located in' some 'material entity'))	peptide			
OBI:0302891	trypsination	Trypsination is a protease cleavage which uses enzyme trypsin to act on proteins present in an input material entity				subclass	protease cleavage						
OBI:0000253	artificially induced nucleic acid hybridization	Is a material transformation in which strands of nucleic acids that are (somewhat) complementary form a double-stranded molecule. Has input at least two single stranded molecules of nucleic acid molecules.				subclass	material processing	material transformation objective					
OBI:0002447	suppression subtractive hybridization	An artificially induced nucleic acid hybridization that is performed to compare gene expression in different cell or tissue types based on normalization and suppression, which creates a subtracted cDNA or genomic DNA library.			SSH|subtractive hybridization	subclass	artificially induced nucleic acid hybridization						
OBI:0002448	differential screening hybridization	An artificially induced nucleic acid hybridization that is performed to identify differentially expressed genes through hybridization of cDNA probes.			DSH|differential screening	subclass	artificially induced nucleic acid hybridization						
OBI:0000341	histological sample preparation	Histological sample preparation is the preparation of an input tissue via slicing and labeling to make tissue microstructure of interest visible in a future histology assay				subclass	material processing	specimen collection objective|material transformation objective	organ section		specimen collection process		('has participant' some microtome)
OBI:0000373	ionize process	A physical process of converting an atom or molecule into an ion by adding or removing charged particles such as electrons or other ions. This excludes chemical processes of dissociation.				subclass	material processing	material transformation objective					(realizes some 'ionization function')|('has participant' some continuant)
OBI:0000413	cell cycle synchronization	A process with the objective to obtain a cell culture in which all cells are in the same stage of the cell cycle				subclass	material processing	material transformation objective	cultured cell population	cultured cell population			
OBI:0000457	manufacturing	Manufacturing is a process with the intent to produce a processed material which will have a function for future use. A person or organization (having manufacturer role) is a participant in this process				equivalent	material processing	manufacturing objective	material entity	processed material			
OBI:0000652	material combination	Is a material processing with the objective to combine two or more material entities as input into a single material entity as output.				equivalent	material processing	material combination objective	material entity	processed material			
OBI:0001959	multiplexed nucleotide library sequencing	A planned process which consists in running a set of samples as a pool on a sequencing instrument, while retaining the ability to associate individual results to each of the individual input samples through the use of a ligated oligonucleotide (the "multiplex identifier sequence"). This oligonucleotide is introduced during the sequence library preparation, and is unique to and specific for all library fragments derived from each sample in a sample pool.				subclass	material processing		multiplexed sequencing library	multiplexed sequence data			
OBI:0000274	adding a material entity into a target	Is a process with the objective to place a material entity bearing the 'material to be added role' into a material bearing the 'target of material addition role'.				subclass	material combination		('material entity' and ('has role' some 'material to be added role') and ('located in' some ('material entity' and ('has role' some 'target of material addition role'))))				(realizes some 'target of material addition role')|(realizes some 'material to be added role')
OBI:0600000	adding substance to cell culture	Is process in which a material substance is added to a cell culture				equivalent	adding a material entity into a target	adding material objective	cultured cell population	cultured cell population			((realizes some 'material to be added role') and (realizes some ('target of material addition role' and ('role of' some 'cultured cell population'))))
OBI:1110030	experimental infection of cell culture	Is the administration of an infectious agent to a cell culture with the objective to have the agent colonize and replicate in culture				subclass	adding substance to cell culture						(realizes some ('material to be added role' and ('inheres in' some 'infectious agent')))
OBI:0600007	administering substance in vivo	A process by which a substance is intentionally given to an organism resulting in exposure of the organism to that substance.				equivalent	adding a material entity into a target	adding material objective	organism	organism			((realizes some 'material to be added role') and (realizes some ('target of material addition role' and ('role of' some (organism or 'material anatomical entity')))))
OBI:1110007	administration in vivo with infectious agent	Is an administration of an infectious agent to a host organism				subclass	administering substance in vivo						(realizes some ('material to be added role' and ('role of' some 'infectious agent')))
OBI:0003057	antibiotic administration process	Administering substance in vivo where an antibiotic substance is administered to a living organism.				subclass	administering substance in vivo						(realizes some ('material to be added role' and ('role of' some antibacterial)))
OBI:0000942	intradermal injection	Is the injection of a material entity (bearing the administered substance role) into the dermis (bearing the target role) of an organism using a syringe				equivalent	administering substance in vivo|injection	adding material objective					((realizes some 'material to be added role') and (realizes some (function and ('inheres in' some syringe))) and (realizes some ('target of material addition role' and ('role of' some dermis))))
OBI:0000934	intramuscular injection	Is the injection of a material entity (bearing the administered substance role) into the muscle (bearing the target role) of an organism using a syringe				equivalent	administering substance in vivo|injection	adding material objective					((realizes some 'material to be added role') and (realizes some (function and ('inheres in' some syringe))) and (realizes some ('target of material addition role' and ('role of' some 'skeletal muscle tissue'))))
OBI:0000983	intranasal mucosal administration	The administration of a substance into the intranasal mucosis of an organism				equivalent	administering substance in vivo	adding material objective					((realizes some 'material to be added role') and (realizes some ('target of material addition role' and ('role of' some 'mucosa of nasopharynx'))))
OBI:0000429	intraperitoneal administration	The administration of a substance into the peritoneum of an organism				equivalent	administering substance in vivo	adding material objective					((realizes some 'material to be added role') and (realizes some ('target of material addition role' and ('role of' some peritoneum))))
OBI:0000281	intraperitoneal injection	Is the injection of a material entity (bearing the administered substance role) into the peritoneum (bearing the target role) of an organism using a syringe				equivalent	intraperitoneal administration|injection	adding material objective					((realizes some 'material to be added role') and (realizes some (function and ('inheres in' some syringe))) and (realizes some ('target of material addition role' and ('role of' some peritoneum))))
OBI:0000994	intravenous injection	Is the injection of a material entity (bearing the administered substance role) into the vein (bearing the target role) of an organism using a syringe				equivalent	administering substance in vivo|injection	adding material objective					((realizes some 'material to be added role') and (realizes some (function and ('inheres in' some syringe))) and (realizes some ('target of material addition role' and ('role of' some vein))))
OBI:0000952	oral administration	An administering substance in vivo into the mouth of an organism				equivalent	administering substance in vivo	adding material objective					('administering substance in vivo' and (realizes some ('target of material addition role' and ('role of' some mouth))))
OBI:0000837	oral ingestion of pill	An adding a material entity to target with the entity is a pill and the target is the mouth				equivalent	oral administration						((realizes some ('material to be added role' and ('role of' some pill))) and (realizes some ('target of material addition role' and ('role of' some mouth))) and (has_specified_input some pill))
OBI:0001174	passive immunization	The injection of immune effector material (antibodies, T cells or B cells) into an organism so that the organisms immune system gains its immune effector function to recognize specific antigens.			adoptive transfer	subclass	administering substance in vivo						(realizes some ('material to be added role' and ('inheres in' some 'adaptive immune receptor')))
OBI:0001192	epitope specific immune intervention	An administration in vivo to either actively or passively immunize an organism in order to induce a response against a specific immune epitope				subclass	passive immunization						('passive immunization' or 'Individual epitope immunization in vivo')
