ontology ID	label	editor preferred term	has curation status	alternative label	IEDB Alternative Terms	definition	definition source	example of usage	term editor	editor note	curator note	ontology term requester	term tracker item	logical type	parent class	obsolete	obsolescence reason	replacement term	Randi notes on obsolescence
ID	LABEL	A editor preferred term	AI has curation status	A alternative label SPLIT=|	A IEDB alternative term	AL definition@en	A definition source SPLIT=|	A example of usage SPLIT=|	A term editor SPLIT=|	A editor note SPLIT=|	A curator note SPLIT=|	A ontology term requester	A term tracker item	CLASS_TYPE	C %	AT deprecated^^xsd:boolean	AI has obsolescence reason	AI term replaced by	
OBI:0000050	obsolete_platform		metadata incomplete			A platform is an object_aggregate that is the set of instruments and software needed to perform a process. definition_source: OBI.	OBI Instrument branch		OBI Instrument branch					subclass	Obsolete Class	true	IAO:0000103		
OBI:0000100	obsolete_role of being first subject treated		metadata complete			First subject treated role is a study subject role borne by the subject realized in the application of the process specified in intervention study design with no previous study subject realizing the role prior in the study	OBI	Rat 1A; first enrolled patient to receive treatment	Role Branch					subclass	Obsolete Class	true	IAO:0000103		
OBI:0000109	obsolete biological vector role		metadata complete			a biological vector role is a material to be added role that is realized by the process of transmitting material to the organism that is the target of the transmission.	OBI and Wikipedia	1983 Sci. Amer. Jan. 58/2 Plasmids are routinely used as vectors for introducing foreign DNA into bacteria.|Some epidemiological aspects and vector role of tick infestation on layers in the Faisalabad district (Pakistan). http://journals.cambridge.org/action/displayAbstract;jsessionid=0373164489D00868AEEF2C556EB4FD29.tomcat1?fromPage=online&aid=624280	GROUP:  Role Branch					subclass	Obsolete Class	true	IAO:0000103		
OBI:0000140	obsolete_label role		requires discussion	label		Label role is a role which inheres in a material entity and which is realized in a detection of label assay	OBI		Role Branch					subclass	Obsolete Class	true	IAO:0000228	OBI:0002743	
OBI:0000205	obsolete_dropout role		metadata complete			Dropout is a study subject role borne by an entity realized by a process of leaving the study earlier than the protocol specified and where the bearer of the dropout role had been borne study subject role prior to bearing dropout role.	OBI	Escaped rat; human who moved to another city. Rat which escapes part way through a study; a human study participant who moved to another city before the study was completed (and stopped participating in the study)	Role Branch					subclass	Obsolete Class	true	IAO:0000103		
OBI:0000207	obsolete health care provider role		metadata complete	health care provider		a worker role of providing medical care either within or outside the study timeline			Person:Jennifer Fostel					subclass	Obsolete Class	true		OMRSE:00000012	
OBI:0000223	obsolete_blinded medication role		metadata complete			Is a role which inheres in a material entity which is manufactured to be similar in appearance to a test material entity in e.g. a clinical trial to prevent participants from detecting which is the active and inactive substance		115 patients received ipilimumab and blinded medication|Inert pill shaped like aspirin tablet	Jennifer Fostel|Person:Helen Parkinson					subclass	Obsolete Class	true	IAO:0000103		
OBI:0000233	obsolete_defined_material		organizational term			Place holder class, Utility class to gather the defined classes	OBI Biomaterial derived		Susanna Sansone					subclass	Obsolete Class	true	IAO:0000226		
OBI:0000264	obsolete_sample population		metadata complete	recruited population		A sample population is an object aggregate that is selected from the population, e.g. the fish in the net that were sampled from the lake, the people that responded to the call for volunteers.	GROUP: OBI Biomaterial Branch	Patterns of benzylpiperazine/trifluoromethylphenylpiperazine party pill use and adverse effects in a population sample in New Zealand. Drug Alcohol Rev. 2008 Mar 31:1-7.  PMID: 18608458	PERSON: Jennifer Fostel|PERSON: Philippe Rocca-Serra					subclass	Obsolete Class	true	IAO:0000227		
OBI:0000296	obsolete_enrollment		pending final vetting			enrollment is a process of identifying a set of objects for further use in an investigation based on a set of criteria or rules	IEDB	Enrollment of patients in a study. Short-term outcome of neuropsychiatric events in systemic lupus erythematosus upon enrollment into an international inception cohort study. Arthritis Rheum. 2008 May 15;59(5):721-9. PMID: 18438902	Bjoern Peters					subclass	Obsolete Class	true	IAO:0000227		
OBI:0000323	obsolete_peritoneum		example to be eventually removed			is the serous membrane that forms the lining of the abdominal cavity								subclass	Obsolete Class	true	IAO:0000228		
OBI:0000340	obsolete_documenting		pending final vetting				wikipedia http://en.wikipedia.org/wiki/Documenting	Recording the current temperature in a laboratory notebook. Writing a journal article. Updating a patient record in a database.	Bjoern Peters					subclass	Obsolete Class	true	IAO:0000228	IAO:0000572	
OBI:0000420	obsolete_trypsinized material		example to be eventually removed			A material entity that has undergone a process of digestion with trypsin		A trypsinized suspension of cells	Person:Bjoern Peters					subclass	Obsolete Class	true	IAO:0000103		
OBI:0000442	obsolete_heart		example to be eventually removed			The heart is a muscular organ found in all vertebrates that is responsible for pumping blood throughout the blood vessels by repeated, rhythmic contractions	http://en.wikipedia.org/wiki/Heart	Alan Ruttenberg's heart	Person:Bjoern Peters					subclass	Obsolete Class	true	IAO:0000230		
OBI:0000446	obsolete_identification		uncurated			a process by which the identity (what a thing is) of a material entity is established within a certain confidence interval		DNA cleavage assay for the identification of topoisomerase I inhibitors. Nat Protoc. 2008;3(11):1736-50. PMID: 18927559	Philippe Rocca-Serra					subclass	Obsolete Class	true	IAO:0000103		
OBI:0000449	obsolete_defined_output		organizational term			This is only a placeholder for defined classes, as are its siblings _defined_material and _defined protocol application. Its children should be defined classes constructed as output of a process.		example of subclass: normalized data set - A normalized data set is a data set that is produced as the output of a normalization data transformation.	PERSON: Alan Ruttenberg|PERSON: James Malone|PERSON: Melanie Courtot					subclass	Obsolete Class	true	IAO:0000226		
OBI:0000577	obsolete_molecular concentration		metadata incomplete			A concentration is a relational quality that inheres in a material entity towards molecular scattered aggregate that is part of it by virtue of some ratio of masses of the two or the counts of the grains of the two or volume occupied by the larger material entity.	Discussion in Karslruhe, Oct 2008, with, among others, Alan Rector, Stefan Schulz, Marijke Keet, Melanie Courtot, and Alan Ruttenberg.	the phosphate concentration should be 0.1M	PERSON: Alan Ruttenberg					subclass	Obsolete Class	true	IAO:0000228		
