ontology ID	label	editor preferred term	has curation status	alternative label	definition	definition source	example of usage	term editor	editor note	curator note	ontology term requester	term tracker item	logical type	parent class	specimen type
ID	LABEL	A editor preferred term	AI has curation status	A alternative label SPLIT=|	AL definition@en	A definition source SPLIT=|	A example of usage SPLIT=|	A term editor SPLIT=|	A editor note SPLIT=|	A curator note SPLIT=|	A ontology term requester	A term tracker item	CLASS_TYPE	C %	C 'has specified output' some (% and 'has role' some 'specimen role')
OBI:0002904	adult arthropod specimen collection process			collection of adults	A live arthropod specimen collection process in which the arthropods are in the adult stage.	MIRO:30000052		John Judkins				https://github.com/obi-ontology/obi/issues/1217		live arthropod specimen collection process	
OBI:0002905	animal-biting arthropod specimen collection by aspiration			animal biting catch	An arthropod specimen collection by aspiration that occurs while the arthropod is biting an animal.	MIRO:30000012		John Judkins				https://github.com/obi-ontology/obi/issues/1217		arthropod specimen collection by aspiration	
OBI:0002906	animal-biting outdoor arthropod specimen collection by aspiration			animal biting catch - outdoors	An animal-biting arthropod specimen collection by aspiration that occurs outside a building.	MIRO:30000014		John Judkins				https://github.com/obi-ontology/obi/issues/1217		animal-biting arthropod specimen collection by aspiration	
OBI:0002907	aquatic arthropod specimen collection process			aquatic environment catch	An arthropod specimen collection process that has the objective of collecting mosquitoes from an aquatic environment.	MIRO:30000048		John Judkins				https://github.com/obi-ontology/obi/issues/1217		arthropod specimen collection process	
OBI:0002908	arthropod resting in animal house specimen collection by aspiration			animal shed resting catch	An arthropod specimen collection by aspiration that catches specimens resting inside an animal house.	MIRO:30000027		John Judkins				https://github.com/obi-ontology/obi/issues/1217		arthropod specimen collection by aspiration	
OBI:0002909	arthropod resting outdoors on artificial support specimen collection by aspiration			outdoors shelter catch - artificial	An arthropod resting outdoors specimen collection by aspiration that occurs while the arthropod rests on a processed material such as a wall or furniture.	MIRO:30000026		John Judkins				https://github.com/obi-ontology/obi/issues/1217		arthropod resting outdoors specimen collection by aspiration	
OBI:0002910	arthropod resting outdoors on natural support specimen collection by aspiration			outdoors shelter catch - natural	An arthropod resting outdoors specimen collection by aspiration that occurs while the arthropod rests on an unprocessed material such as a plant.	MIRO:30000025		John Judkins				https://github.com/obi-ontology/obi/issues/1217		arthropod resting outdoors specimen collection by aspiration	
OBI:0002911	arthropod resting outdoors specimen collection by aspiration			outdoors shelter catch	An animal-biting arthropod specimen collection by aspiration that occurs while the arthropod is resting outside a building during a period of inactivity.	MIRO:30000024		John Judkins				https://github.com/obi-ontology/obi/issues/1217		animal-biting arthropod specimen collection by aspiration	
OBI:0002912	arthropod specimen collection by aspiration			catch by aspiration	A live arthropod specimen collection process that involves the use of an aspirator, a device which draws an arthropod by suction into a container.	MIRO:30000043		John Judkins				https://github.com/obi-ontology/obi/issues/1217		adult arthropod specimen collection process	
OBI:0002913	arthropod specimen collection process			collection of arthropods|field population catch	A specimen collection process that has the objective of collecting arthropods as specimens.	MIRO:30000044		John Judkins				https://github.com/obi-ontology/obi/issues/1217		specimen collection process	
OBI:0002914	human-biting arthropod specimen collection by aspiration			man biting catch	An arthropod specimen collection by aspiration that occurs while the arthropod is biting a human.	MIRO:30000017		John Judkins				https://github.com/obi-ontology/obi/issues/1217		arthropod specimen collection by aspiration	
OBI:0002915	human-biting indoor arthropod specimen collection by aspiration			man biting catch - indoors	An arthropod specimen collection by aspiration that occurs while the arthropod is biting a human inside a building.	MIRO:30000019		John Judkins				https://github.com/obi-ontology/obi/issues/1217		human-biting arthropod specimen collection by aspiration	
OBI:0002916	human-biting outdoor arthropod specimen collection by aspiration			man biting catch - outdoors	An arthropod specimen collection by aspiration designed to catch specimens that are in the process of biting a human outside a building.	MIRO:30000018		John Judkins				https://github.com/obi-ontology/obi/issues/1217		human-biting arthropod specimen collection by aspiration	
OBI:0002917	knockdown arthropod specimen collection by pyrethrum spray			pyrethrum spray catch	A knockdown arthropod specimen collection process in which the pesticide is pyrethrum.	MIRO:30000023		John Judkins				https://github.com/obi-ontology/obi/issues/1217		knockdown arthropod specimen collection process	
OBI:0002918	knockdown arthropod specimen collection process			knockdown collection	An arthropod specimen collection process that involves exposing arthropods to pesticide, then collecting them once they become dead or immobilized.	IRO:0000014		John Judkins				https://github.com/obi-ontology/obi/issues/1217		live arthropod specimen collection process	
OBI:0002919	live arthropod specimen collection process			catch of live specimens	An arthropod specimen collection process meant to collect live specimens.	MIRO:30000044|VSMO:0001445		John Judkins				https://github.com/obi-ontology/obi/issues/1217		arthropod specimen collection process	
OBI:0003051	egg specimen collection process			collection of eggs	An arthropod specimen collection process in which the arthropods are in the embryo stage.	MIRO:30000049		VEuPath				https://github.com/obi-ontology/obi/issues/1322		aquatic arthropod specimen collection process	
OBI:0003052	larval specimen collection process			collection of larvae	An arthropod specimen collection process in which the arthropods are in the larval stage.	MIRO:30000022		VEuPath				https://github.com/obi-ontology/obi/issues/1322		aquatic arthropod specimen collection process	
OBI:0003053	pupal specimen collection process			collection of pupae	An arthropod specimen collection process in which the arthropods are in the pupal stage.	MIRO:30000050		VEuPath				https://github.com/obi-ontology/obi/issues/1322		aquatic arthropod specimen collection process	
