ontology ID	label	editor preferred term	has curation status	alternative label	definition	definition source	example of usage	term editor	editor note	curator note	ontology term requester	term tracker item	axiom
ID	LABEL	A editor preferred term	AI has curation status	A alternative label SPLIT=|	AL definition@en	A definition source SPLIT=|	A example of usage SPLIT=|	A term editor SPLIT=|	A editor note SPLIT=|	A curator note SPLIT=|	A ontology term requester	A term tracker item	EC %
OBI:0003243	blood assay datum				A data item that is the specified output of a blood assay.	VEuPathDB		John Judkins				https://github.com/obi-ontology/obi/issues/1428	('data item' and 'is specified output of' some 'blood assay')
OBI:0003244	blood microbiology datum				An organism detection datum that is the specified output of a blood microbiology assay.	VEuPathDB		John Judkins				https://github.com/obi-ontology/obi/issues/1428	('organism detection datum' and 'is specified output of' some 'blood microbiology assay')
OBI:0003245	feces assay datum				A data item that is the specified output of a feces assay.	VEuPathDB		John Judkins				https://github.com/obi-ontology/obi/issues/1428	('data item' and 'is specified output of' some 'feces assay')
OBI:0003246	feces microbiology datum				An organism detection datum that is the specified output of a feces microbiology assay.	VEuPathDB		John Judkins				https://github.com/obi-ontology/obi/issues/1428	('organism detection datum' and 'is specified output of' some 'feces microbiology assay')
OBI:0003247	urine assay datum				A data item that is the specified output of a urine assay.	VEuPathDB		John Judkins				https://github.com/obi-ontology/obi/issues/1428	('data item' and 'is specified output of' some 'urine assay')
OBI:0003248	urine microbiology datum				An organism detection datum that is the specified output of a urine microbiology assay.	VEuPathDB		John Judkins				https://github.com/obi-ontology/obi/issues/1428	('organism detection datum' and 'is specified output of' some 'urine microbiology assay')
OBI:0003249	induced sputum assay datum				A data item that is the specified output of a induced sputum assay.	VEuPathDB		John Judkins				https://github.com/obi-ontology/obi/issues/1428	('data item' and 'is specified output of' some 'induced sputum assay')
OBI:0003251	induced sputum microbiology datum				An organism detection datum that is the specified output of an induced sputum microbiology assay.	VEuPathDB		John Judkins				https://github.com/obi-ontology/obi/issues/1428	('organism detection datum' and 'is specified output of' some 'induced sputum microbiology assay')
OBI:0003252	cerebrospinal fluid assay datum				A data item that is the specified output of a cerebrospinal fluid assay.	VEuPathDB		John Judkins				https://github.com/obi-ontology/obi/issues/1428	('data item' and 'is specified output of' some 'cerebrospinal fluid assay')
