ontology ID	label	editor preferred term	has curation status	alternative term	definition	definition source	example of usage	term editor	editor note	curator note	ontology term requester	term tracker item	logical type	parent class	specimen collection process	gross anatomical part	collection process input	associated axioms	URI
ID	A rdfs:label	A editor preferred term	AI has curation status	A alternative term SPLIT=|	AL definition@en	A definition source SPLIT=|	A example of usage SPLIT=|	A term editor SPLIT=|	A editor note SPLIT=|	A curator note SPLIT=|	A ontology term requester	A term tracker item	CLASS_TYPE	C %	C 'is specified output of' some %	C ('is specified output of' some 'specimen collection process') and ('derives from' some %)	C 'is specified output of' some ('specimen collection process' and 'has specified input' some %)	C % SPLIT=|	
OBI:0000651	urine specimen	urine specimen	metadata complete		a portion of urine collected from an organism				This could be instead a kind of collection of secreted stuff. Among secreted stuff there is passive, and active. urine is secreted, passiv.  lavage is secreted, active|are we happy calling collection of urine a material separation?|4/10/2011BP: It seems to me that the editor notes refer to a previous version, and are no longer relevant.				equivalent	bodily fluid specimen	collecting specimen from organism	urine			
OBI:0000655	blood specimen	blood specimen	ready for release		a material entity derived from a portion of blood collected from an organism	Bjoern Peters	blood drawn from a human for glucose assay	Bjoern Peters					equivalent	bodily fluid specimen	collecting specimen from organism	blood			
OBI:0000671	sample from organism	sample from organism	example to be eventually removed		a material obtained from an organism in order to be a representative of the whole				we need to work on this: Is taking a urine sample a material separation process? If not, we will need to specify what 'taking a sample from organism' entails. We can argue that the objective to obtain a urine sample from a patient is enough to call it a material separation process, but it could dilute what material separation was supposed to be about.|5/29: This is a helper class for now				equivalent	specimen from organism				'has role' some 'material sample role'	
OBI:0000680	whole organism preparation	whole organism preparation	metadata incomplete		A material entity which is the output of a process in which one or more whole organisms are prepared in a way to make it easier to study them, and in which the great majority of organismal parts are maintained		putting a mouse in the blender. Not: putting a mouse on a scale		does this include injecting a dye to a patient to be able to visualize parts of his brain? If not, we should state that the components of the organism are substantially re-arranged.				subclass	specimen				'derives from' some 'organism'	
OBI:0000747	material sample	material sample	metadata incomplete	sample|sample population	A material entity that has the material sample role		blood drawn from patient to measure his systemic glucose level. A population of humans with HIV enrolled in a study taken to represent patients with HIV in general.	OBI: workshop				https://github.com/obi-ontology/obi/issues/1013	equivalent	specimen				'has role' some 'material sample role'	
OBI:0000834	high molecular weight DNA extract	high molecular weight DNA extract	metadata complete		The output of an extraction process in which DNA molecules above a molecular weight cutoff are purified in order to exclude DNA from organellas.	OBI	Extraction of chromosomal DNA from mammalian cells by first isolating nucei	PERSON:Chris Stoeckert					subclass	DNA extract					
OBI:0000862	nuclear RNA extract	nuclear RNA extract	metadata complete		A RNA extract that is the output of an extraction process in which RNA molecules found in the nucleus, including mRNA precursors (pre-mRNA), are extracted.	UPenn Group	Isolation and purification of nuclear RNA from animal cells using Norgen Bioteck corp. cytoplasmic and nuclear RNA purification kit (http://www.norgenbiotek.com/display-product.php?ID=30)	PERSON: Chris Stoeckert|PERSON: Jie Zheng					subclass	RNA extract	nuclear RNA extraction				
OBI:0000869	polyA RNA extract	polyA RNA extract	metadata complete		A RNA extract that is the output of an extraction process in which RNA molecules with poly A tail at its 3' end are purified.	UPenn Group	Preparation of polyA RNA by cellulose-bound oligo-dT (Aviv, H., Leder, P. 1972. Purification of biologically active globin messenger RNA by chromatography on oligothymidylic acid-cellulose. Proc. Nat. Acad. Sci. USA 69, 1408-1412.)	PERSON: Chris Stoeckert|PERSON: Jie Zheng					subclass	RNA extract	polyA RNA extraction				
OBI:0000873	pre-mortem specimen	pre-mortem specimen	metadata complete		a specimen that was taken from a live organism	MO_705 premortem	material obtained through a liver biopsy from a human patient	Bjoern Peters					equivalent	specimen with pre- or post-mortem status			('organism' and ('has quality' some 'alive'))		
OBI:0000876	cytoplasmic RNA extract	cytoplasmic RNA extract	metadata complete		A RNA extract that is the output of a RNA extraction process in which RNA molecules found in the cytoplasm are extracted.	UPenn Group	Cytoplasmic RNA extraction from mammalian tissues to create cDNA library (Carninci P, Nakamura M, Sato K, Hayashizaki Y, Brownstein MJ. Cytoplasmic RNA extraction from fresh and frozen mammalian tissues. Biotechniques. 2002;33:306–309.)	PERSON:Chris Stoeckert					equivalent	RNA extract	cytoplasmic RNA extraction				
OBI:0000880	RNA extract	RNA extract	metadata complete		an extract which is the output of an extraction process in which RNA molecules are isolated from a specimen.	Group: UPenn Group		PERSON: Chris Stoeckert|PERSON: Jie Zheng					equivalent	nucleic acid extract	RNA extraction			'has grain' some 'ribonucleic acid'	
OBI:0000895	total RNA extract	total RNA extract	metadata complete		A RNA extract that is the output of an extraction process in which total celluar and organelle RNA molecules are isolated from a specimen.	UPenn Group	Extraction of total RNA from cells with Qiagen mini RNeasy kit	PERSON: Chris Stoeckert|PERSON: Jie Zheng					equivalent	RNA extract	total RNA extraction				
OBI:0000899	organellar RNA extract	organellar RNA extract	metadata complete		A RNA extract that is the output of an extraction process in which RNA molecules found in an organelle, e.g., mitochondrion, ER, or chloroplast, excluding the nucleus, are extracted.	UPenn Group	Extraction of organellar RNA from plant cells using organellar RNA binding protein.	PERSON: Chris Stoeckert|PERSON: Jie Zheng					equivalent	RNA extract	organellar RNA extraction				
OBI:0000902	post mortem specimen	post mortem specimen	metadata complete		a specimen that was taken from a dead organism	MO_416 postmortem	the spleen taken from a dead mouse	Bjoern Peters					equivalent	specimen with pre- or post-mortem status			('organism' and ('has quality' some 'dead'))		
OBI:0000908	labeled DNA extract	labeled DNA extract	metadata complete		a labeled specimen that is the output of a labeling process and has grain labeled DNA to be able to detect DNA in future experiments.	Group: OBI group		Group: OBI group	Need to find out if we consider labeled nucleotides still nucleotides. It is after consulting with ChEBI group. Added duirng Mar 1, 2010 dev call				equivalent	labeled nucleic acid extract	('addition of molecular label' and ('has specified input' some 'DNA extract'))			'has grain' some 'deoxyribonucleic acid'	
