ontology ID	label	editor preferred term	has curation status	alternative label	definition	definition source	example of usage	term editor	editor note	curator note	ontology term requester	term tracker item	logical type	parent class	objective	independent variable	dependent variable	assay	associated superclasses	associated equivalent classes
ID	LABEL	A editor preferred term	AI has curation status	A alternative label SPLIT=|	AL definition@en	A definition source SPLIT=|	A example of usage SPLIT=|	A term editor SPLIT=|	A editor note SPLIT=|	A curator note SPLIT=|	A ontology term requester	A term tracker item	CLASS_TYPE	C %	C 'has part' some % SPLIT=|	C 'has part' some ('study design independent variable' and ('is about' some %)) SPLIT=|	C 'has part' some ('study design dependent variable' and ('is about' some %)) SPLIT=|	C 'is concretized as' some ('realized in' some ('has part' some %)) SPLIT=|	SC % SPLIT=|	EC % SPLIT=|
OBI:0000115	intervention design	intervention design	pending final vetting		An intervention design is a study design in which a controlled process applied to the subjects (the intervention) serves as the independent variable manipulated by the experimentalist. The treatment (perturbation or intervention) defined can be defined as a combination of values taken by independent variable manipulated by the experimentalists are applied to the recruited subjects assigned (possibly by applying specific methods) to treatment groups. The specificity of intervention design is the fact that independent variables are being manipulated and a response of the biological system is evaluated via response variables as monitored by possibly a series of assays.	OBI branch derived	PMID: 18208636.Br J Nutr. 2008 Jan 22;:1-11.Effect of vitamin D supplementation on bone and vitamin D status among Pakistani immigrants in Denmark: a randomised double-blinded placebo-controlled intervention study.	Philppe Rocca-Serra					equivalent	study design		study intervention				
OBI:0000951	compound treatment design	compound treatment design	metadata complete		an intervention design in which the treatment is the administration of a compound	MO_555 compound_treatment_design		PERSON: Bjoern Peters	This is meant to include all kinds of material administrations, including vaccinations, chemical compounds etc.				subclass	study design		('study intervention' and 'administration of material to specimen')				
OBI:0000985	growth condition intervention design	growth condition intervention design	metadata complete		A study design in which the independent variable is the environmental condition in which the specimen is growing	MO_588 growth_condition_design		PERSON: Bjoern Peters					subclass	intervention design		study intervention|growth environment				
OBI:0001162	validation by reverse transcription PCR design	validation by reverse transcription PCR design	metadata complete		a study design in which checks the accuracy or the quality of the result of an assay  by comparing with reverse transcription PCR results	MO_986 reverse_transcription_PCR_quality_control		PERSON: Chris Stoeckert, Jie Zheng					subclass	study design						
OBI:0001166	validation by real time PCR design	validation by real time PCR design	metadata complete		a study design in which the accuracy or the quality of the result of an assay is checked by comparing with real time PCR results	MO_434 real_time_PCR_quality_control		PERSON: Chris Stoeckert, Jie Zheng					subclass	study design						
OBI:0001195	operator variation design	operator variation design	metadata complete		A study design that assesses the operator performance and relation to data consistency and quality.	MO_519 operator_variation_design		Person: Chris Stoeckert, Jie Zheng					subclass	study design		('Homo sapiens' and ('has role' some 'worker role'))				
OBI:0001197	comparative genome hybridization by array design	comparative genome hybridization by array design	metadata complete		A study design that detects genomic copy number variations using microarray technology.	MO_856 comparative_genome_hybridization_design		Person: Chris Stoeckert, Jie Zheng					subclass	study design	molecular feature identification objective					
OBI:0001199	in vivo design		metadata complete		A study design that is conducted entirely in a living organism, e.g. a compound treatment in a mouse model.	MO_454 in_vivo_design		Person: Chris Stoeckert, Jie Zheng					subclass	study design						
OBI:0001200	genotyping by high throughput sequencing design	genotyping by high throughput sequencing design	metadata complete		A study design that classifies an individual or group of individuals on the basis of alleles, haplotypes, SNPs using high througput sequencing techniques.	MO_560 genotyping_design		Person: Chris Stoeckert, Jie Zheng					subclass	genotyping design						
OBI:0001202	innate behavior design	innate behavior design	metadata complete		A study design in which the innate behavior of the organism is examined, e.g. path finding in bees.	MO_355 innate_behavior_design		Person: Chris Stoeckert, Jie Zheng					subclass	study design	organism feature identification objective					
OBI:0001205	cell component comparison design	cell component comparison design	metadata complete		A study design that compares samples from different cell components.	MO_1019 cell_component_comparison_design		Person: Chris Stoeckert, Jie Zheng					subclass	study design	cellular feature identification objective	cellular_component				
OBI:0001211	ex vivo design	ex vivo design	metadata complete		A study design where all or part of an organism is removed and studied in vitro, e.g. part of a mouse is removed and cultured in vitro. A cell culture with an established cell line is an in vitro experiment.	MO_808 ex_vivo_design		Person: Chris Stoeckert, Jie Zheng					subclass	study design						
OBI:0001214	normalization testing design	normalization testing design	metadata complete		A study design that tests different normalization procedures.	MO_729 normalization_testing_design		Person: Chris Stoeckert, Jie Zheng					subclass	study design	software testing objective	normalization data transformation				
OBI:0001226	environmental history design	environmental history design	metadata complete		A study design in which some aspect of the organism's environmental history is studied, such as exposure to teratogen, radiation, climate etc.	MO_698 environmental_history_design		Person: Chris Stoeckert, Jie Zheng					subclass	study design	biological feature identification objective					
OBI:0001239	transcription profiling by high throughput sequencing design		metadata complete		A study design in which sequencing technology (e.g. Solexa/454) is used to generate RNA sequence, analyse the transcibed regions of the genome, and/or to quantitate transcript abundance	Group: ArrayExpress production team		Person: Chris Stoeckert, Jie Zheng					subclass	study design	transcription profiling identification objective					
OBI:0001252	array platform variation design	array platform variation design	metadata complete		A study design in which the array platform is compared, e.g. Agilent versus Affymetrix.	MO_899 array_platform_variation_design		Person: Chris Stoeckert, Jie Zheng					subclass	study design	methodology testing objective	microarray platform				
OBI:0001258	ChIP-seq design	ChIP-seq design	metadata complete		A study design which aims to identify protein and DNA interactions using a combination of chromatin immunoprecipitation and high throughput sequencing. Massively parallel sequence analyses are used in conjunction with whole-genome sequence databases to analyze the interaction pattern of any protein with DNA, or the pattern of any epigenetic chromatin modifications.	http://en.wikipedia.org/wiki/Chip-Sequencing		Person: Chris Stoeckert, Jie Zheng					subclass	study design	protein and DNA interaction identification objective|epigenetic modification identification objective					
OBI:0001259	translational bias design	translational bias design	metadata complete		A study design that characterizes the association of transcripts and translation machinery.	MO_939 translational_bias_design		Person: Chris Stoeckert, Jie Zheng					subclass	study design	biological feature identification objective					
