prefix	base	ontology IRI	version IRI
rdf	http://www.w3.org/1999/02/22-rdf-syntax-ns#		
rdfs	http://www.w3.org/2000/01/rdf-schema#		
xsd	http://www.w3.org/2001/XMLSchema#		
owl	http://www.w3.org/2002/07/owl#		
oio	http://www.geneontology.org/formats/oboInOwl#		
cell	http://purl.obolibrary.org/obo/cl#		
cellline	http://www.ebi.ac.uk/cellline#		
cito	http://purl.org/spar/cito/		
chebi	http://purl.obolibrary.org/obo/chebi#		
chebi2	http://purl.obolibrary.org/obo/chebi/		
dce	http://purl.org/dc/elements/1.1/		
dct	http://purl.org/dc/terms/		
envo	http://purl.obolibrary.org/obo/envo#		
foaf	http://xmlns.com/foaf/0.1/		
geneontology	http://purl.obolibrary.org/obo/go#		
pato	http://purl.obolibrary.org/obo/pato#		
pr	http://purl.obolibrary.org/obo/pr#		
protege	http://protege.stanford.edu/plugins/owl/protege#		
uberon	http://purl.obolibrary.org/obo/uberon#		
uberon_core	http://purl.obolibrary.org/obo/uberon/core#		
ubprop	http://purl.obolibrary.org/obo/ubprop#		
APOLLO_SV	http://purl.obolibrary.org/obo/APOLLO_SV_		
BFO	http://purl.obolibrary.org/obo/BFO_		
BSPO	http://purl.obolibrary.org/obo/BSPO_
CARO	http://purl.obolibrary.org/obo/CARO_		
CHEBI	http://purl.obolibrary.org/obo/CHEBI_		
CHMO	http://purl.obolibrary.org/obo/CHMO_		
CL	http://purl.obolibrary.org/obo/CL_		
CLO	http://purl.obolibrary.org/obo/CLO_		
COB	http://purl.obolibrary.org/obo/COB_		
CP	http://purl.obolibrary.org/obo/CP_		
DOID	http://purl.obolibrary.org/obo/DOID_		
EFO	http://www.ebi.ac.uk/efo/EFO_		
ENVO	http://purl.obolibrary.org/obo/ENVO_		
FOODON	http://purl.obolibrary.org/obo/FOODON_		
GAZ	http://purl.obolibrary.org/obo/GAZ_		
GENEPIO	http://purl.obolibrary.org/obo/GENEPIO_		
GO	http://purl.obolibrary.org/obo/GO_		
GOREL	http://purl.obolibrary.org/obo/GOREL_		
HP	http://purl.obolibrary.org/obo/HP_		
HsapDv	http://purl.obolibrary.org/obo/HsapDv_		
IAO	http://purl.obolibrary.org/obo/IAO_		
IDO	http://purl.obolibrary.org/obo/IDO_		
MAXO	http://purl.obolibrary.org/obo/MAXO_		
MOD	http://purl.obolibrary.org/obo/MOD_		
MOP	http://purl.obolibrary.org/obo/MOP_		
MPATH	http://purl.obolibrary.org/obo/MPATH_		
NBO	http://purl.obolibrary.org/obo/NBO_		
NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_		
OBI	http://purl.obolibrary.org/obo/OBI_		
OGMS	http://purl.obolibrary.org/obo/OGMS_		
OMIABIS	http://purl.obolibrary.org/obo/OMIABIS_		
OMRSE	http://purl.obolibrary.org/obo/OMRSE_		
OPL	http://purl.obolibrary.org/obo/OPL_		
PATO	http://purl.obolibrary.org/obo/PATO_		
PO	http://purl.obolibrary.org/obo/PO_		
PR	http://purl.obolibrary.org/obo/PR_		
REO	http://purl.obolibrary.org/obo/REO_		
RO	http://purl.obolibrary.org/obo/RO_		
SIO	http://semanticscience.org/resource/SIO_		
SO	http://purl.obolibrary.org/obo/SO_		
UBERON	http://purl.obolibrary.org/obo/UBERON_		
UBPROP	http://purl.obolibrary.org/obo/UBPROP_		
UO	http://purl.obolibrary.org/obo/UO_		
VO	http://purl.obolibrary.org/obo/VO_		
obo	http://purl.obolibrary.org/obo/		
