ID	LABEL
BFO:0000040	
CHEBI:145810	insulin
CHEBI:15377	water
CHEBI:15422	ATP
CHEBI:15956	biotin
CHEBI:16113	cholesterol
CHEBI:16134	ammonia
CHEBI:16247	phospholipid
CHEBI:16301	nitrite
CHEBI:16526	carbon dioxide
CHEBI:16670	peptide
CHEBI:166899	globulin type
CHEBI:16737	creatinine
CHEBI:168396	mycophenolic acid
CHEBI:16919	creatine
CHEBI:16990	bilirubin IXalpha
CHEBI:16991	deoxyribonucleic acid
CHEBI:17026	progesterone
CHEBI:17137	hydrogensulfite
CHEBI:17230	homocysteine
CHEBI:17234	glucose
CHEBI:17347	testosterone
CHEBI:17423	methemoglobin
CHEBI:17544	hydrogencarbonate
CHEBI:17650	cortisol
CHEBI:17709	5'-adenylyl sulfate
CHEBI:17855	triglyceride
CHEBI:17996	chloride
CHEBI:20067	3-hydroxybutyric acid
CHEBI:22868	bile salt
CHEBI:23528	cytochalasin
CHEBI:23965	estradiol
CHEBI:23995	N-ethyl-N-nitrosourea
CHEBI:24621	hormone
CHEBI:24636	proton
CHEBI:24875	iron cation
CHEBI:25078	luciferin
CHEBI:2637	amikacin
CHEBI:26710	sodium chloride
CHEBI:27226	uric acid
CHEBI:27889	lead(0)
CHEBI:28001	vancomycin
CHEBI:28358	rac-lactic acid
CHEBI:28619	acrylamide
CHEBI:28689	dehydroepiandrosterone
CHEBI:28774	3,3',5'-triiodothyronine
CHEBI:28864	tobramycin
CHEBI:29101	sodium(1+)
CHEBI:29103	potassium(1+)
CHEBI:29191	hydroxyl
CHEBI:29237	deuterium atom
CHEBI:30660	thyroxine
CHEBI:30682	ruthenium atom
CHEBI:31624	fluorescein (lactone form)
CHEBI:31642	gadodiamide hydrate
CHEBI:31643	gadoteridol
CHEBI:31991	phenol red
CHEBI:32142	sodium citrate dihydrate
CHEBI:32875	methyl group
CHEBI:33262	elemental oxygen
CHEBI:33321	rare earth metal atom
CHEBI:33359	rhodium atom
CHEBI:33375	gadolinium atom
CHEBI:33376	terbium atom
CHEBI:33696	nucleic acid
CHEBI:33697	ribonucleic acid
CHEBI:33709	amino acid
CHEBI:33839	macromolecule
CHEBI:35143	hemoglobin
CHEBI:35366	fatty acid
CHEBI:35729	gadolinium molecular entity
CHEBI:35780	phosphate ion
CHEBI:37333	gadodiamide
CHEBI:37445	folic acids
CHEBI:37586	sodium phosphate
CHEBI:37972	phosphorus-32 atom
CHEBI:37973	phosphorus-33 atom
CHEBI:37987	Cy3 dye
CHEBI:37989	Cy5 dye
CHEBI:38559	cytochrome P450
CHEBI:39025	high-density lipoprotein
CHEBI:39026	low-density lipoprotein
CHEBI:39027	very-low-density lipoprotein
CHEBI:39123	calcium cation
CHEBI:39124	calcium ion
CHEBI:39127	magnesium cation
CHEBI:39867	valproic acid
CHEBI:42098	digoxigenin
CHEBI:42191	EDTA(4-)
CHEBI:4431	deoxyribonucleotide
CHEBI:4551	digoxin
CHEBI:4705	double-stranded DNA
CHEBI:472552	5-bromo-2'-deoxyuridine
CHEBI:47774	low-density lipoprotein cholesterol
CHEBI:47775	high-density lipoprotein cholesterol
CHEBI:50076	chromium-51
CHEBI:51232	2'-(4-ethoxyphenyl)-5-(4-methylpiperazin-1-yl)-2,5'-bibenzimidazole
CHEBI:51602	resorufin
CHEBI:51756	Alexa Fluor 532
CHEBI:51760	Alexa Fluor 546
CHEBI:52673	Alexa Fluor 555
CHEBI:53526	tritiated thymidine
CHEBI:59050	dimethyl sulfate
CHEBI:59051	diethyl pyrocarbonate
CHEBI:59052	1,1-dihydroxy-3-ethoxy-2-butanone
CHEBI:59053	N-cyclohexyl-N'-(2-(4-morpholinyl)ethyl)carbodiimide
CHEBI:59054	N-methylisatoic anhydride
CHEBI:59055	(S)-1-(4-bromoacetamidobenzyl)EDTA
CHEBI:59056	EDTA methidiumpropylamide
CHEBI:59424	bromophenol blue
CHEBI:61057	tacrolimus hydrate
CHEBI:61073	oxygen radical
CHEBI:6495	lipoprotein
CHEBI:81567	thyroid stimulating hormone
CHEBI:81568	Luteinizing hormone
CHEBI:81569	Follicle stimulating hormone
CHEBI:86319	25-hydroxyvitamin D2
CHEBI:9754	tris
COB:0000011	
COB:0000013	
