ID	LABEL
BFO:0000015	
BFO:0000040	
GO:0000785	chromatin
GO:0001046	core promoter sequence-specific DNA binding
GO:0001047	
GO:0001172	RNA-templated transcription
GO:0001508	action potential
GO:0001788	antibody-dependent cellular cytotoxicity
GO:0001806	type IV hypersensitivity
GO:0001816	cytokine production
GO:0001906	cell killing
GO:0001913	T cell mediated cytotoxicity
GO:0001964	startle response
GO:0002027	regulation of heart rate
GO:0002250	adaptive immune response
GO:0002367	cytokine production involved in immune response
GO:0002390	
GO:0002507	tolerance induction
GO:0002514	B cell tolerance induction
GO:0002517	T cell tolerance induction
GO:0002524	hypersensitivity
GO:0002534	cytokine production involved in inflammatory response
GO:0003016	respiratory system process
GO:0003094	glomerular filtration
GO:0003674	molecular_function
GO:0003823	antigen binding
GO:0003824	catalytic activity
GO:0003939	L-iditol 2-dehydrogenase (NAD+) activity
GO:0003964	RNA-directed DNA polymerase activity
GO:0003990	acetylcholinesterase activity
GO:0003997	acyl-CoA oxidase activity
GO:0004021	L-alanine:2-oxoglutarate aminotransferase activity
GO:0004035	alkaline phosphatase activity
GO:0004069	L-aspartate:2-oxoglutarate aminotransferase activity
GO:0004104	cholinesterase activity
GO:0004111	creatine kinase activity
GO:0004353	glutamate dehydrogenase [NAD(P)+] activity
GO:0004364	glutathione transferase activity
GO:0004448	isocitrate dehydrogenase [NAD(P)+] activity
GO:0004457	lactate dehydrogenase activity
GO:0004540	RNA nuclease activity
GO:0005216	monoatomic ion channel activity
GO:0005575	cellular_component
GO:0005577	fibrinogen complex
GO:0005694	chromosome
GO:0005739	mitochondrion
GO:0006006	glucose metabolic process
GO:0006260	DNA replication
GO:0006282	regulation of DNA repair
GO:0006338	chromatin remodeling
GO:0006909	phagocytosis
GO:0006915	apoptotic process
GO:0006955	immune response
GO:0006974	DNA damage response
GO:0007009	plasma membrane organization
GO:0007049	cell cycle
GO:0007283	spermatogenesis
GO:0007566	embryo implantation
GO:0007596	blood coagulation
GO:0007611	learning or memory
GO:0008150	biological_process
GO:0008217	regulation of blood pressure
GO:0008228	opsonization
GO:0008253	5'-nucleotidase activity
GO:0008283	cell population proliferation
GO:0009566	fertilization
GO:0009987	cellular process
GO:0010467	gene expression
GO:0010573	vascular endothelial growth factor production
GO:0015925	galactosidase activity
GO:0016064	immunoglobulin mediated immune response
GO:0016160	amylase activity
GO:0016231	beta-N-acetylglucosaminidase activity
GO:0016491	oxidoreductase activity
GO:0016788	hydrolase activity, acting on ester bonds
GO:0019814	immunoglobulin complex
GO:0019815	B cell receptor complex
GO:0019835	cytolysis
GO:0019882	antigen processing and presentation
GO:0019904	protein domain specific binding
GO:0021700	developmental maturation
GO:0022414	reproductive process
GO:0030041	actin filament polymerization
GO:0030097	hemopoiesis
GO:0030154	cell differentiation
GO:0030182	neuron differentiation
GO:0031175	neuron projection development
GO:0032601	connective tissue growth factor production
GO:0032602	chemokine production
GO:0032604	granulocyte macrophage colony-stimulating factor production
GO:0032605	hepatocyte growth factor production
GO:0032606	type I interferon production
GO:0032607	interferon-alpha production
GO:0032608	interferon-beta production
GO:0032609	type II interferon production
GO:0032610	interleukin-1 alpha production
GO:0032611	interleukin-1 beta production
GO:0032612	interleukin-1 production
GO:0032613	interleukin-10 production
GO:0032614	interleukin-11 production
GO:0032615	interleukin-12 production
