ID	LABEL
BFO:0000040	
COB:0000035	
IAO:0000001	conditional specification
IAO:0000003	measurement unit label
IAO:0000005	objective specification
IAO:0000006	narrative object
IAO:0000009	datum label
IAO:0000010	software
IAO:0000027	data item
IAO:0000028	symbol
IAO:0000030	information content entity
IAO:0000032	scalar measurement datum
IAO:0000033	directive information entity
IAO:0000037	dot plot
IAO:0000038	graph
IAO:0000055	rule
IAO:0000064	algorithm
IAO:0000078	curation status specification
IAO:0000079	density plot
IAO:0000088	report
IAO:0000098	data format specification
IAO:0000100	data set
IAO:0000101	image
IAO:0000104	plan specification
IAO:0000109	measurement datum
IAO:0000144	conclusion textual entity
IAO:0000178	material information bearer
IAO:0000179	histogram
IAO:0000180	heatmap
IAO:0000183	dendrogram
IAO:0000184	scatter plot
IAO:0000300	textual entity
IAO:0000306	table
IAO:0000308	figure
IAO:0000310	document
IAO:0000311	publication
IAO:0000312	publication about an investigation
IAO:0000401	one dimensional cartesian spatial coordinate datum
IAO:0000408	length measurement datum
IAO:0000414	mass measurement datum
IAO:0000416	time measurement datum
IAO:0000422	postal address
IAO:0000429	email address
IAO:0000572	documenting
IAO:0000573	line graph
IAO:0000574	assigning a centrally registered identifier
IAO:0000577	centrally registered identifier symbol
IAO:0000579	centrally registered identifier registry
IAO:0000594	software application
