ID	LABEL
GO:0042611	MHC protein complex
MRO:0000013	HLA-DR protein complex
MRO:0000966	H2-Db protein complex
MRO:0000967	H2-Dd protein complex
MRO:0000971	H2-IA protein complex
MRO:0000973	H2-IAd protein complex
MRO:0000975	H2-IAg7 protein complex
MRO:0000991	H2-Kb protein complex
MRO:0000992	H2-Kd protein complex
MRO:0000994	H2-Ks protein complex
MRO:0000997	H2-Ld protein complex
MRO:0001149	HLA-C protein complex
MRO:0001167	HLA-DP protein complex
MRO:0001355	MHC class I protein complex
MRO:0001356	MHC class II protein complex
MRO:0001434	cattle MHC class I protein complex
MRO:0001435	cattle MHC class II protein complex
MRO:0001454	human MHC class I protein complex
MRO:0001455	human MHC class II protein complex
MRO:0001460	mouse MHC class I protein complex
MRO:0001461	mouse MHC class II protein complex
MRO:0001465	pig MHC class I protein complex
MRO:0001498	mouse MHC protein complex with H2-p haplotype
MRO:0001530	HLA protein complex with A2 serotype
MRO:0001533	HLA protein complex with A24 serotype
MRO:0001537	HLA protein complex with A28 serotype
MRO:0001538	HLA protein complex with A29 serotype
MRO:0001557	HLA protein complex with B27 serotype
MRO:0001622	HLA protein complex with DQ3 serotype
MRO:0001759	mouse MHC class I protein complex with H2-b haplotype
MRO:0001790	rat MHC class I protein complex
MRO:0001793	rat MHC class II protein complex with RT1-A haplotype
MRO:0002026	H2-Dq protein complex
MRO:0002027	H2-Kq protein complex
