ID	LABEL
COB:0000022	
NCBITaxon:10090	Mus musculus
NCBITaxon:10116	Rattus norvegicus
NCBITaxon:10239	Viruses
NCBITaxon:10358	Cytomegalovirus
NCBITaxon:10376	human gammaherpesvirus 4
NCBITaxon:10407	Hepatitis B virus
NCBITaxon:11050	Flaviviridae
NCBITaxon:11646	Lentivirus
NCBITaxon:11676	Human immunodeficiency virus 1
NCBITaxon:11709	Human immunodeficiency virus 2
NCBITaxon:117571	Euteleostomi
NCBITaxon:1206794	Ecdysozoa
NCBITaxon:12637	Dengue virus
NCBITaxon:160	Treponema pallidum
NCBITaxon:197562	Pancrustacea
NCBITaxon:2	Bacteria
NCBITaxon:2157	Archaea
NCBITaxon:2559587	Riboviria
NCBITaxon:2732406	Kitrinoviricota
NCBITaxon:2732514	Revtraviricetes
NCBITaxon:2759	Eukaryota
NCBITaxon:3044472	Orthoherpesviridae
NCBITaxon:3052230	Hepacivirus hominis
NCBITaxon:314146	Euarchontoglires
NCBITaxon:32523	Tetrapoda
NCBITaxon:32524	Amniota
NCBITaxon:33154	Opisthokonta
NCBITaxon:33208	Metazoa
NCBITaxon:33213	Bilateria
NCBITaxon:3379134	Pseudomonadati
NCBITaxon:3702	Arabidopsis thaliana
NCBITaxon:37124	Chikungunya virus
NCBITaxon:388799	HIV-1 group O
NCBITaxon:39107	Murinae
NCBITaxon:40674	Mammalia
NCBITaxon:44689	Dictyostelium discoideum
NCBITaxon:4890	Ascomycota
NCBITaxon:4896	Schizosaccharomyces pombe
NCBITaxon:4932	Saccharomyces cerevisiae
NCBITaxon:5140	Neurospora
NCBITaxon:5820	Plasmodium
NCBITaxon:6239	Caenorhabditis elegans
NCBITaxon:6656	Arthropoda
NCBITaxon:6668	Daphnia
NCBITaxon:7147	Diptera
NCBITaxon:7157	Culicidae
NCBITaxon:716545	saccharomyceta
NCBITaxon:7227	Drosophila melanogaster
NCBITaxon:7742	Vertebrata <vertebrates>
NCBITaxon:784	Orientia tsutsugamushi
NCBITaxon:7955	Danio rerio
NCBITaxon:8353	Xenopus <genus>
NCBITaxon:9031	Gallus gallus
NCBITaxon:9606	Homo sapiens
NCBITaxon:9989	Rodentia
