ID	LABEL
COB:0000502	
PATO:0000001	quality
PATO:0000011	age
PATO:0000018	fluorescence
PATO:0000025	composition
PATO:0000033	concentration of
PATO:0000047	biological sex
PATO:0000051	morphology
PATO:0000070	amount
PATO:0000117	size
PATO:0000122	length
PATO:0000125	mass
PATO:0000140	position
PATO:0000141	structure
PATO:0000146	temperature
PATO:0000165	time
PATO:0000169	viability
PATO:0000186	behavioral quality
PATO:0000383	female
PATO:0000384	male
PATO:0000918	volume
PATO:0001018	physical quality
PATO:0001020	damage
PATO:0001025	pressure
PATO:0001161	diluted
PATO:0001167	damaged
PATO:0001193	lateral to
PATO:0001196	ventral to
PATO:0001233	dorsal to
PATO:0001241	physical object quality
PATO:0001292	full-spectrum EM radiation quality
PATO:0001293	absorption quality
PATO:0001296	luminous flux
PATO:0001300	optical quality
PATO:0001335	bacterial mating type
PATO:0001337	yeast mating type
PATO:0001338	mixed sex
PATO:0001339	biomaterial purity
PATO:0001340	hermaphrodite
PATO:0001341	a mating type (yeast)
PATO:0001342	Saccharomyces cerevisiae mating type
PATO:0001343	Schizosaccharomyces pombe mating type
PATO:0001344	alpha mating type (yeast)
PATO:0001345	h minus
PATO:0001346	h plus
PATO:0001347	F mating type
PATO:0001348	F minus mating type
PATO:0001374	ploidy
PATO:0001375	haploid
PATO:0001377	polyploid
PATO:0001385	aneuploid
PATO:0001393	euploid
PATO:0001394	diploid
PATO:0001396	cellular quality
PATO:0001421	alive
PATO:0001422	dead
PATO:0001546	quality of a solid
PATO:0001547	quality of a gas
PATO:0001548	quality of a liquid
PATO:0001574	flow rate
PATO:0001632	anterior to
PATO:0001708	1-D extent
PATO:0001710	3-D extent
PATO:0001740	activity (of a radionuclide)
PATO:0001741	radioactive
PATO:0001792	left side of
PATO:0001793	right side of
PATO:0001894	phenotypic sex
PATO:0001895	mating type
PATO:0001906	movement quality
PATO:0001985	frozen
PATO:0001995	organismal quality
PATO:0002003	population quality
PATO:0002027	osmolality
PATO:0002198	quality of a substance
PATO:0002201	handedness
PATO:0002202	left handedness
PATO:0002203	right handedness
PATO:0002204	ambidextrous handedness
PATO:0002243	fluid flow rate
PATO:0070044	anatomical structure quality
PATO:0070060	quality of interaction of a substance with electromagnetic radiation
PATO:0103000	quantitative
