ID	LABEL
CHEBI:16670	
GO:0032991	
PR:000000001	protein
PR:000001004	CD4 molecule
PR:000001018	CD3 subunit with immunoglobulin domain
PR:000003015	prostate-specific antigen
PR:000003252	antithrombin-III
PR:000003745	double-stranded RNA-specific adenosine deaminase
PR:000003777	adiponectin
PR:000003918	albumin
PR:000004580	beta-2-microglobulin
PR:000005794	ceruloplasmin
PR:000005897	C-reactive protein
PR:000006592	deoxyribonuclease-1
PR:000007141	erythropoietin
PR:000007928	glial cell line-derived neurotrophic factor
PR:000008457	beta-globin
PR:000008725	haptoglobin
PR:000009758	leptin
PR:000013429	parathyroid hormone
PR:000014060	ribonuclease T2
PR:000016261	serotransferrin
PR:000016801	transthyretin
PR:000023089	DNA ligase
PR:000025402	T cell receptor co-receptor CD8
PR:000025467	guanyl-specific ribonuclease T1
PR:000025471	nuclease S1
PR:000025475	ribonuclease U2
PR:000025477	ribonuclease V1 (cobra)
PR:000025478	ribonuclease CL3 (chicken)
PR:000027247	cytosolic creatine kinase complex, MB-type
PR:000029971	creatine kinase
PR:000029983	protein-glutamine gamma-glutamyltransferase
PR:000036824	NS1
PR:000050219	alanine aminotransferase
PR:000050331	lactate dehydrogenase complex
PR:000050343	alkaline phosphatase (human)
PR:000050353	aspartate aminotransferase (human)
PR:000050469	hemoglobin A1c
PR:000085778	modified histone
