ID	LABEL
BFO:0000040	
GO:0008150	
UBERON:0000002	uterine cervix
UBERON:0000007	pituitary gland
UBERON:0000010	peripheral nervous system
UBERON:0000029	lymph node
UBERON:0000057	urethra
UBERON:0000105	life cycle stage
UBERON:0000162	cloaca
UBERON:0000165	mouth
UBERON:0000173	amniotic fluid
UBERON:0000178	blood
UBERON:0000305	amnion
UBERON:0000310	breast
UBERON:0000316	cervical mucus
UBERON:0000323	late embryo
UBERON:0000341	throat
UBERON:0000362	renal medulla
UBERON:0000463	organism substance
UBERON:0000465	material anatomical entity
UBERON:0000473	testis
UBERON:0000477	anatomical cluster
UBERON:0000479	tissue
UBERON:0000481	multi-tissue structure
UBERON:0000483	epithelium
UBERON:0000945	stomach
UBERON:0000947	aorta
UBERON:0000948	heart
UBERON:0000955	brain
UBERON:0000956	cerebral cortex
UBERON:0000970	eye
UBERON:0000978	leg
UBERON:0000992	ovary
UBERON:0000995	uterus
UBERON:0000996	vagina
UBERON:0001003	skin epidermis
UBERON:0001004	respiratory system
UBERON:0001013	adipose tissue
UBERON:0001037	strand of hair
UBERON:0001052	rectum
UBERON:0001087	pleural fluid
UBERON:0001088	urine
UBERON:0001089	sweat
UBERON:0001090	synovial fluid
UBERON:0001103	diaphragm
UBERON:0001134	skeletal muscle tissue
UBERON:0001155	colon
UBERON:0001159	sigmoid colon
UBERON:0001225	cortex of kidney
UBERON:0001255	urinary bladder
UBERON:0001264	pancreas
UBERON:0001268	peritoneal fluid
UBERON:0001323	tibial nerve
UBERON:0001359	cerebrospinal fluid
UBERON:0001460	arm
UBERON:0001485	knee joint
UBERON:0001488	ankle joint
UBERON:0001530	common carotid artery plus branches
UBERON:0001555	digestive tract
UBERON:0001557	upper respiratory tract
UBERON:0001558	lower respiratory tract
UBERON:0001567	cheek
UBERON:0001577	facial muscle
UBERON:0001621	coronary artery
UBERON:0001637	artery
UBERON:0001638	vein
UBERON:0001723	tongue
UBERON:0001728	nasopharynx
UBERON:0001729	oropharynx
UBERON:0001797	vitreous humor
UBERON:0001811	conjunctiva
UBERON:0001826	nasal cavity mucosa
UBERON:0001830	minor salivary gland
UBERON:0001836	saliva
UBERON:0001873	caudate nucleus
UBERON:0001874	putamen
UBERON:0001893	telencephalon
UBERON:0001913	milk
UBERON:0001968	semen
UBERON:0001970	bile
UBERON:0001987	placenta
UBERON:0001988	feces
UBERON:0002032	areola
UBERON:0002037	cerebellum
UBERON:0002046	thyroid gland
UBERON:0002048	lung
UBERON:0002067	dermis
UBERON:0002072	hypodermis
UBERON:0002097	skin of body
UBERON:0002106	spleen
UBERON:0002107	liver
UBERON:0002116	ileum
UBERON:0002199	integument
UBERON:0002358	peritoneum
UBERON:0002367	prostate gland
UBERON:0002369	adrenal gland
UBERON:0002371	bone marrow
UBERON:0002386	forelimb zeugopod
UBERON:0002389	manual digit
UBERON:0002391	lymph
UBERON:0002409	pericardial fluid
UBERON:0002415	tail
UBERON:0002465	lymphoid system
UBERON:0002469	esophagus mucosa
UBERON:0002512	corpus luteum
UBERON:0002812	left cerebral hemisphere
UBERON:0002813	right cerebral hemisphere
UBERON:0003126	trachea
UBERON:0003128	cranium
UBERON:0003688	omentum
UBERON:0004648	esophagus muscularis mucosa
UBERON:0005022	mucosa of nasopharynx
UBERON:0005023	mucosa of oropharynx
UBERON:0005921	middle nasal concha
UBERON:0006314	bodily fluid
UBERON:0006538	respiratory system fluid/secretion
UBERON:0006618	atrium auricular region
UBERON:0006911	digestive system secreted substance
UBERON:0007106	chorionic villus
UBERON:0007109	meconium
UBERON:0007311	sputum
UBERON:0007610	tibial artery
UBERON:0007650	esophagogastric junction
UBERON:0008188	tendon of biceps brachii
UBERON:0010414	omental fat pad
UBERON:0011011	brachioradialis
UBERON:0012168	umbilical cord blood
UBERON:0013755	arterial blood
UBERON:0013756	venous blood
UBERON:0013757	capillary blood
UBERON:0036149	suprapubic skin
UBERON:3000016	anterior nasal wall
UBERON:8470000	placental blood
